,nsites,bandgap,Unit Cell Mass,energy,total_magnetization,energysStab,transition,FirstIonizationEnergy wmean,ICSDVolum wmean,IsMetalloid wmean,Electronegativity wmean,GSenergy_p wstd,Polarizability wstd,BoilingT wstd,HeatCapacityMolar wmean,MiracleRadius wstd,AtomicVolum wmean,BCCefflatcn wmean,BCCefflatcn wstd,BCCmagmom wstd,HeatFusion wstd,GSefflatcn wmean,GSefflatcn wstd,MeltingT wmean,MeltingT wstd,GSestBCClatcn wmean,GSestBCClatcn wstd,CovalentRadius wstd,GSestFCClatcn wmean,GSestFCClatcn wstd,IsM wstd,SpaceGroupNumber wmean,SpaceGroupNumber wstd,Row wstd,Crystal System,ShannonForce,stdbv,vz,strainlatticemean,strainlatticestd,initialAnisotropy,li-ion fittability,oxidation flexibility,volume flexibility of cell,deltaShannon,detLatticeVec,initialAnisotropy Std,deltashannonmin
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",54.0,0.0,1319.4987999999996,-451.25240787,0.0001173,0.02215640388888751,1.0,3.5640607037037038,5.975432098765433,0.0,0.8679012345679012,1.129220265656962,1.5785164608074522,445.3474076915352,9.198864197530863,11.025513911775136,3675.072560189388,1.842440760306978,0.8945605773884598,0.0,1.8689487650438108,1.9134174337255243,0.981423829162318,219.33172839506173,251.68055312778927,0.956708716962963,0.4907119147141584,14.100992235120788,1.2053774510987654,0.6182582706753187,0.12221598687174895,30.01234567901234,20.815744747324427,0.4539450940950675,3.0,0.0,0.7101274824489421,9.617682870648563,606.0241412335738,3.3877779395105363,-0.12201482896827814,6.648186963383112,3.851851851851852,0.0055304964431164075,0.0035308634472804514,624.3872787370924,0.5393987579532457,0.002184273187508149
"mp-300006944, Li7Ti16O32, LiTi2O4, mp-530141, mp-5670",55.0,0.0,1326.4398,-455.51530659,0.0006004,0.010086660909090384,1.0,3.531936684848485,5.997878787878787,0.0,0.8580606060606061,1.092946597475596,1.5824005300035044,431.9476058456348,9.182278787878788,9.539817479335053,3608.383629144005,1.8478288941906909,0.8295652204759544,0.0,1.8232540481651471,1.9175803996392369,0.9163999306783628,218.0935151515152,245.28293762858812,0.9587901999151516,0.4581999654735411,12.782356986790075,1.207999955290909,0.57729578144904,0.11907201639023335,30.854545454545452,20.225870567676086,0.4285495643554833,3.0,0.0,0.7058186896410643,9.619614473739325,606.2968823218936,3.389302608544845,0.06751646398362905,11.518042560172008,3.7818181818181817,0.005528008563559668,0.003562886517256829,624.668284153129,0.2418139262165448,0.0021832905978499814
"mp-300006944, LiTi2O4, LiTiO2, mp-5670, mp-6944",14.0,0.0,333.3452,-114.92282305,3.3e-06,0.0,1.0,3.5009599523809523,6.01952380952381,0.0,0.8485714285714286,1.0579766550488163,1.6117499524731036,419.40255076934943,9.166285714285713,8.11258645297023,3544.0764456359557,1.8530245947214148,0.7677079332250384,0.0,1.779475323319729,1.9215946881988888,0.8546115169004272,216.8995238095238,239.16141692880203,0.960797344190476,0.4273057585856421,11.51711730120455,1.2105287986190476,0.5383715198667604,0.11664236870396084,31.66666666666667,19.84303484213117,0.40406101782088427,7.0,0.0,0.7016637822906105,5.677429214,151.67087951174406,0.8478659919885939,1.6991941187427528e-10,6.651147177777778,3.7142857142857135,0.022097942388970167,0.014372025071578653,156.26665883182937,3.987407717360003e-10,0.008727596799995149
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",12.0,1.712,319.4632,-105.53608265,0.0,0.17869182333333278,1.0,5.67737,8.731666666666666,0.0,1.403333333333333,0.2897261150000001,2.1659999999999995,563.3,13.969333333333333,2.333333333333332,6200.338441689601,2.7080960097846747,0.555151836420525,0.0,2.285,2.827195564603125,0.6806628174482414,341.76666666666665,305.23333333333335,1.4135977825,0.34033140883333346,4.666666666666664,1.7810216021666667,0.4287907058333333,0.16666666666666666,36.33333333333333,28.33333333333333,0.0,7.0,-0.8679325670873069,0.51275934653398,5.6601327710000024,150.2147379102473,0.8397259129740715,4.533489879795145e-10,6.6297935444444445,4.333333333333333,0.022312153948153432,0.013312184512986257,154.76639468366562,6.483802657794391e-10,0.00881219979540267
"mp-300007936, Li5(NbS2)7, LiNbS2, mp-767171, mp-7936",52.0,0.0,2267.91932,-342.31541455,0.00021690000000000001,0.0,1.0,2.8116754487179487,7.638974358974358,0.0,0.6694871794871795,1.0127356818524502,1.375701139150635,473.4610368769864,7.875641025641026,10.861070545113416,7.872652081884499,2.1365057379676786,0.9155358295282008,0.0,3.4560436366851515,2.342823545363316,1.1989402402016067,345.583205128205,283.5655351308351,1.1714117726794873,0.5994701202424699,13.141169480138359,1.4758863505384614,0.755285023049044,0.11322770341445955,47.794871794871796,10.1364620675985,0.5282922507188851,2.0,-0.5764472299486837,0.5162361366388715,12.319703883854466,894.4745484083554,5.000264735961281,-0.05918102148613295,6.4994935952840756,5.9230769230769225,0.02225086060717565,0.013374906733537249,921.5780216996768,0.4234475477881592,0.0025727357586634034
"mp-300007936, Li9(NbS2)14, Li5(NbS2)7, mp-767218, mp-767171",51.0,0.0,2260.9783199999997,-338.31611803,0.0049613,0.0,1.0,2.8315663464052285,7.647385620915033,0.0,0.6762091503267974,1.0495120535174385,1.277498597955141,491.1952704550656,7.867581699346406,12.189386531095106,7.886206971856906,2.1364609853021204,0.9757584665232596,0.0,3.538731912741972,2.346753799998289,1.2620318868111997,349.3940522875817,291.84472550310267,1.1733768999999998,0.6310159435455558,14.498046228377554,1.4783622558104577,0.7950302698689882,0.11358266141818806,47.235294117647065,11.079813668173324,0.5567461291254079,2.0,0.0,1.2825358460278948,12.333820421074732,896.4759956261348,5.011453166042074,-0.3752209408445655,6.500222193131792,6.03921568627451,0.022201183958528384,0.01353539745537603,923.6401147696021,0.20553783323077587,0.0025669919408128627
"mp-300007955, Sb, Li3Sb, mp-80, mp-7955",2.0,0.0,243.52,-7.69503163,-0.000113,0.27681376500000043,0.0,8.60839,30.21,1.0,2.05,0.0,0.0,0.0,25.23,0.0,30.191423443789105,7.56791645753124,0.0,0.0,0.0,7.96316398213234,0.0,903.78,0.0,3.981581991,0.0,0.0,5.016478962,0.0,0.0,166.0,0.0,0.0,6.0,0.0,1.6518798738549585,5.235208175,54.81813889529908,0.3064427124247836,-0.2548608611405929,3.7712322888888887,8.0,0.031546911564760416,0.031546911564760416,56.47918332196554,0.18021384307960267,0.031546911564760416
"mp-300009158, CuO2, LiCuO2, mp-704672, mp-9158",6.0,0.0,191.0896,-27.61769401,-0.00040869999999999996,0.28163960458333204,1.0,5.8270800000000005,7.754999999999999,0.0,1.4633333333333332,0.9721548316666668,0.7576666666666666,503.3,13.866,0.3333333333333321,6199.370712485116,2.5678958404494816,0.6953520057557183,0.0,2.1933333333333334,2.6899193533397985,0.8179390287115681,244.56166666666667,208.0283333333333,1.3449596768333334,0.4089695145000001,0.0,1.694543008,0.5152693,0.16666666666666666,41.5,33.5,0.0,3.0,0.06720971642977977,0.7911589391346271,10.794771999229233,121.66863693340021,0.6801483572820577,-0.5093686419428708,3.0599627512085146,3.6666666666666665,0.01087973298660143,0.01324086069846464,125.3553183011192,0.2864907045093522,0.01087973298660143
"mp-300010179, MgSbPd, LiMgSbPd, mp-10183, mp-10179",3.0,0.0,252.485,-12.78796405,1e-07,0.0,1.0,2.7323916666666666,7.601111111111113,0.1111111111111111,0.6177777777777776,0.5043020636484155,0.8329793486902405,264.0733624217724,8.453222222222221,2.528845928164676,7.568011423108832,2.3179911926683343,0.19987906820314089,0.0,1.5925993970569534,2.361079052758771,0.2497721078485857,406.09222222222223,143.74874959413225,1.1805395263333334,0.1248860539364756,0.31426968052735665,1.4873865994444444,0.1573465681522244,0.0,64.99999999999999,8.032342031967923,0.3142696805273544,7.0,0.0,1.090928528172656,4.3332106160000015,64.11159307548014,0.3583947006564444,9.896713078679416e-11,4.9916180444444445,3.6666666666666665,0.02697395115168572,0.037438997827619384,66.05423845726028,5.046692984377202e-11,0.02697395115168572
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",18.0,3.3233000000000006,400.0688,-148.11304219999997,0.0,0.039459981388889176,1.0,3.8829548148148163,5.9951851851851865,0.07407407407407407,0.962222222222222,1.0167518065228969,0.44962116045474254,263.4092236324503,8.937333333333333,11.206014454083588,4133.73526190846,1.7832714256506317,1.0797487083896686,0.0,4.889440457101314,1.9181378901590624,1.172371424826317,209.0296296296296,138.21277844758157,0.9590689452222222,0.5861857125320651,11.099747275265322,1.2083511522592592,0.7385477183035934,0.05237828008789242,26.66666666666667,17.700759091857716,0.37770514915502107,1.0,-2.26218585701416,0.5373186952089316,5.119038192814525,217.1479323563651,1.2138938448058954,0.12318149712977294,5.961775546684597,5.0,0.015434705369584484,0.006167798514157314,223.7277318546952,0.08710247142224649,0.0017498996859022546
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",12.0,0.0,464.5044,-77.72878849,8.0154018,0.020420569166667242,1.0,4.581088333333334,10.588333333333333,0.0,1.1366666666666667,0.21854718375,0.9666666666666666,251.42666666666665,11.458333333333332,12.666666666666664,11.071004843872666,3.0384445232463486,1.1608442900155371,0.0,2.926333333333333,3.420883129371173,1.5421629434541395,492.7866666666666,233.88,1.7104415648333329,0.7710814718333331,11.833333333333336,2.155021332,0.9715017773333332,0.16666666666666666,61.5,14.833333333333332,0.33333333333333337,2.0,-0.5408001122432726,0.5072181814196637,6.356463248263161,217.4197199432431,1.2154131836051405,-0.00110601047691176,7.476977540734063,8.0,0.0915410455799331,0.06580556072494398,224.00775487724337,0.004496220299740221,0.014334591014965696
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",12.0,0.0,476.27218,-76.07411716,11.9422587,0.012788893333333108,1.0,4.69234,10.62,0.0,1.1183333333333332,0.13768863547333332,0.6000000000000001,149.76,11.953333333333333,12.333333333333329,11.090966009156816,3.0195776557728564,1.1797111574890298,0.13642881666666667,1.5779999999999996,3.4008018653671432,1.5622442074581702,382.62,123.71333333333334,1.7004009328333332,0.7811221038333331,11.833333333333336,2.142370928333333,0.9841521809999999,0.16666666666666666,59.5,12.833333333333332,0.33333333333333337,2.0,-0.5901226440814651,0.5079897305830351,6.4190752310902015,223.579638074664,1.2498481727993689,0.0022044455657309983,7.566759544555802,8.666666666666666,0.08901896731156789,0.0670541106302724,230.3543246879644,0.0012699451523312823,0.023124397267681413
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",16.0,0.14659999999999984,636.3632,-79.39868835,0.0,0.15721317062499995,1.0,5.3361075,7.2925,0.0,1.335,0.26903427125,1.337,777.475,13.4545,15.5,4651.0067771053245,2.6281258183472724,0.1806899336933725,0.0,3.345,2.719432136740436,0.08853835020191014,353.1425,325.7425,1.3597160685,0.04426917499999994,16.5,1.7131348965000002,0.055775665500000016,0.25,59.25,53.25,0.5,3.0,-1.5345400301550032,0.3117580786958009,11.373969575,230.0490038393406,1.2860130268521932,-0.3090556852236759,3.141739055555555,3.5,0.005754088305479451,0.007627223065032894,237.01971870467648,0.4531481372608223,0.005754088305479451
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",38.0,0.0,2040.03988,-297.24184043,1.9946475,0.05187435893091852,1.0,3.588417649122808,9.022631578947367,0.0,0.8708771929824559,1.0624629875075269,3.334940496764382,300.4279484244457,9.44940350877193,10.299695047286477,3919.6535004125,2.085035769175025,0.835312506781107,0.0,1.9285630326446028,2.162281201547499,0.9301451025274832,226.44912280701752,163.5240896371509,1.0811406008596491,0.4650725514128706,8.414617424209737,1.3621518009298246,0.5859546971184814,0.08945648269461025,30.649122807017545,17.038998954754266,0.2232968782694361,1.0,0.0,0.7357939794268865,17.80302008988298,590.9329030456589,3.3034153533784707,-0.4637880534770604,6.579661534439211,3.4736842105263164,0.00224005513292068,0.005000968983578997,608.8387609408456,0.3279459383258819,0.00224005513292068
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",22.0,0.0,1122.5768,-121.2425726,1.8966477,0.05537752045454525,1.0,3.494265696969697,8.040909090909091,0.0,0.8521212121212121,0.9426890299955988,2.948014115464349,337.9016781483934,9.264484848484848,2.7944586383996395,3385.4124663054995,2.0102340112539294,0.4819359767987878,0.0,1.4941054674426624,2.0767922910122842,0.5738902490114317,194.00333333333333,139.23864516980765,1.0383961456060606,0.2869451246120587,1.4570685188086443,1.308297161939394,0.3615282025910189,0.11338355717496792,36.51515151515152,22.670514986881784,0.0,3.0,-0.3728213816139527,0.6502316836502013,6.62324541205431,349.00439030007277,1.950993852892077,0.1625477026043566,7.818821496363344,3.0,0.023897333986327603,0.008121681164278319,359.57957233055527,0.06347452554039612,0.003792852810650935
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",14.0,0.652,769.4930975999997,-76.2216444,2.0000001,0.04259218499999928,1.0,3.318763333333333,10.32095238095238,0.0,0.8042857142857142,1.0140705657493194,7.587167512131442,120.72696204692372,9.916761904761904,23.626726862225798,3553.138733430431,2.372388935590489,1.1594170504830343,0.05512556652243216,0.7250362411772313,2.4345118608144154,1.182199976358293,111.49428571428572,77.89240431736677,1.2172559305238095,0.5910999882328116,20.625260253975405,1.533646369904762,0.7447393177399506,0.11664236870396084,34.428571428571416,24.034272581116362,0.4665694748158434,3.0,-2.9677929868092714,0.39145604673542894,7.834349261000002,312.6302162056102,1.747656038140483,-0.13700599984700568,7.399898259817919,3.7142857142857135,0.004234146970005494,0.013374899700531887,322.10322438685637,0.0968778715550608,0.004234146970005494
"mp-300018767, MnO2, LiMnO2, mp-33009, mp-18767",6.0,0.0,173.87368999999995,-42.56332969,5.9999985,0.03163902250000028,1.0,5.7783533333333335,7.8199999999999985,0.0,1.4049999999999998,0.08216975994333331,1.2993333333333337,358.9666666666667,14.179333333333332,0.6666666666666679,6199.434506240733,2.551557172244513,0.7116906739606866,0.13642881666666667,2.078333333333333,2.6732080199801698,0.8346503620711965,271.43333333333334,234.9,1.3366040101666667,0.4173251811666667,1.1666666666666643,1.6840155276666666,0.5257967803333334,0.16666666666666666,40.16666666666666,32.166666666666664,0.0,3.0,-1.863035707197624,0.5023658348407783,4.236161924,58.647878382141705,0.3278516069965252,-0.17728582158937276,3.272398211111111,6.0,0.0225706763687844,0.044432348636284806,60.42496774499898,0.2710296684980355,0.0225706763687844
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",6.0,0.0,175.6876,-36.99226012,7.9999999000000015,0.13752982229166744,1.0,5.856416666666666,7.749999999999999,0.0,1.4516666666666664,0.20468324166666685,1.1326666666666665,492.29999999999984,13.976,0.5,6199.361949658057,2.5579317162098847,0.7053161299953149,0.3517771333333333,2.228333333333333,2.6802369841329683,0.8276213979183982,320.1,283.56666666666666,1.340118492166667,0.4138106991666667,0.0,1.6884434976666671,0.5213688103333334,0.16666666666666666,42.16666666666666,34.166666666666664,0.0,4.0,-1.3165635290814115,0.43331264858425306,5.250477501755507,70.17075045588847,0.3922664201288464,-4.421802183666537e-10,6.124046291934624,5.333333333333333,0.06556899564072886,0.03443253373148087,72.29699436545235,6.197461338476247e-10,0.01886430277685687
"mp-300018782, Li(FeO2)3, LiFeO2, mp-762931, mp-18782",20.0,0.0,540.9448,-122.91618268,-5.9999995,0.07680482087500096,1.0,3.693573966666667,5.371,0.0,0.9036666666666666,1.180061812347037,0.9413738766056532,394.8503434073331,9.214266666666667,10.730745029534942,3720.335305064164,1.7486378421170512,0.938807919980812,0.29849279573563714,1.852475640865488,1.8223802463777528,1.0323191874980084,207.183,237.7252925079702,0.9111901232333334,0.5161595938910533,12.63364115719965,1.1480276167666668,0.6503203373317437,0.12472191289246473,32.93333333333334,26.09039840418097,0.4714045207910317,2.0,-0.9389573199588134,0.4586220515861751,5.157771379209059,217.57784113902417,1.21629710796127,0.25906334492697725,6.009381120540497,4.8,0.006083902091083521,0.011492905891714924,224.17066730337768,0.18320078390540892,0.006083902091083521
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",6.0,0.3367,167.9898,-43.36228204,-0.0024283,0.19124211833333504,1.0,5.6671016666666665,7.788333333333332,0.0,1.4233333333333331,0.0013112116666667006,1.666,460.63333333333327,13.684333333333333,0.3333333333333321,6199.41454507545,2.5704240397180067,0.6928238064871934,0.0,3.4266666666666667,2.6932892839842,0.8145690980671665,381.6,345.06666666666666,1.346644642166667,0.4072845491666667,1.1666666666666643,1.6966659313333334,0.5131463766666667,0.16666666666666666,42.16666666666666,34.166666666666664,0.0,2.0,-0.9086184396733404,0.5015942856774069,2.90591416596837,69.92064039659711,0.3908682623927719,0.005594018256990167,3.229523661689345,5.333333333333333,0.01893178144780793,0.027479092948036882,72.03930572125438,0.5615904086820489,0.01893178144780793
"mp-300018793, Li3Cr4O8, LiCrO2, mp-771288, mp-18793",15.0,0.7363,356.8026,-104.77343646,10.9999992,0.03061929529629737,1.0,3.3819021555555566,5.595777777777778,0.0,0.8244444444444445,1.0191436203106323,1.8244757342018445,304.09975108080465,8.955644444444445,1.8981472448055647,3307.7906945788977,1.7986504459651778,0.5810413755606743,0.0,2.4786331557912424,1.8648970632541841,0.6715616660034028,233.766,247.04682340593448,0.9324485316888887,0.33578083313775514,5.023598631447037,1.1748115330444444,0.4230573396923128,0.11331154474650633,37.75555555555556,23.03107937730993,0.31426968052735443,5.0,-0.3610173605872957,0.4494961037033349,5.63437164089983,147.1163928006548,0.8224056372670593,-0.00283936468521658,6.569888531786496,4.266666666666667,0.00899778914830255,0.014880774103292712,151.57416661890738,0.0020076652349793702,0.00899778914830255
"mp-300018793, Li3Cr5O10, Li3Cr4O8, mp-762282, mp-771288",18.0,0.0,440.7975,-126.54443488,12.999999800000001,0.06274017160493807,1.0,3.44792975925926,5.528518518518518,0.0,0.8451851851851853,1.098335972901783,1.543404998158355,322.9002668077665,8.983518518518517,4.954941001588023,3445.3160838241315,1.7844780427174265,0.6913009522916425,0.0,2.607765126976737,1.853335250932287,0.7829826734007349,237.205,261.1151643826458,0.9266676255370372,0.3914913368389645,7.727394129163782,1.1675280476851853,0.4932481760091156,0.11415581486979585,36.14814814814815,23.291246582193445,0.3666479606152469,2.0,-1.0536509522110309,0.4581791340323469,6.266814629505981,184.96425008596898,1.0339815914987425,-0.15166170736411932,5.700165138939995,4.4444444444444455,0.007156638550768046,0.011594479123445816,190.56885182782392,0.05461276357728122,0.007156638550768046
