,density,volume,formationenergy_pa,total_magnetization,transition,metalloid,rare,other,HHIp wstd,NdValenc wmean,Polarizability wstd,Number wstd,AtomicWeigh wstd,BoilingT wstd,BCCfermi wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,HeatCapacityMass wstd,IsFBlock wmean,IsFBlock wstd,BCCenergy_p wstd,n_ws^third wmean,AtomicVolum wmean,NsUnfilled wstd,BCCmagmom wmean,HeatFusion wmean,HeatFusion wstd,GSefflatcn wstd,IsNonm wmean,IsNonm wstd,MeltingT wstd,GSestBCClatcn wstd,GSestFCClatcn wstd,NpUnfilled wmean,BCCenergydiff wmean,phi wmean,Crystal System,meanbv,stdbv,meanValenceOcc,vx,strainlatticemean,strainlatticestd,Coordination,numberDensity,maxForce,oxidation flexibility,positiveoxidationpop,avgIonicRadVol,SpaceGroup,deltaShannon,detLatticeVec,angle anisotropy,oxidation flexibility Std,deltaShannonstd,deltashannonmin,deltashannonmax,chargedensityvoldens
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",3.6154980710055713,606.0241412335738,-3.2956563877160496,0.0001173,1.0,0.0,0.0,3.0,13.181578088927546,0.19753086419753085,1.5785164608074522,2.60004806915104,5.556168911973002,445.3474076915352,0.7335185670870344,0.037037037037037035,0.05237828008789242,0.0,0.0,0.36575308641975307,0.16033244307688507,0.0,0.0,0.8484072936053334,0.18641975308641973,3675.072560189388,0.05237828008789242,0.0,1.5520987654320983,1.8689487650438108,0.981423829162318,0.19753086419753085,0.2793508271354261,251.68055312778927,0.4907119147141584,0.6182582706753187,0.3950617283950617,0.4651527554320987,0.4808641975308641,3.0,-0.3316869678332809,0.7101274824489421,312.0,5.675031440340322,606.0241412335738,3.3877779395105363,5.333333333333333,0.0891053611991132,0.0300991154036078,3.851851851851852,0.4074074074074074,0.4590044218628718,59.0,0.0035308634472804514,624.3872787370924,13.079096763983364,1.4325244152454604,0.0016246099220026606,0.002184273187508149,0.0055304964431164075,1.0025828861634871
"mp-300006944, Li7Ti16O32, LiTi2O4, mp-530141, mp-5670",3.63288180837792,606.2968823218938,-3.2785361468484853,0.0006004,1.0,0.0,0.0,3.0,32.263834313227065,0.19393939393939394,1.5824005300035044,2.528093755163047,5.399358280888113,431.9476058456348,0.7185226406348749,0.04242424242424242,0.05999693900976767,0.0,0.0,0.3808121212121212,0.1646129520581768,0.0,0.0,0.8182883946174981,0.18896969696969693,3608.383629144005,0.05999693900976767,0.0,1.542060606060606,1.8232540481651471,0.9163999306783628,0.19393939393939394,0.2742717211875093,245.28293762858812,0.4581999654735411,0.57729578144904,0.3878787878787879,0.4567218091515151,0.4893939393939393,3.0,-0.3156102430215089,0.7058186896410643,309.09090909090907,11.062913315840108,606.2968823218936,3.389302608544845,5.363636363636363,0.0907146343708222,0.029648306902231362,3.7818181818181817,0.41818181818181815,0.4542112645479228,121.0,0.003562886517256829,624.668284153129,10.435319491754768,1.5098574176019413,0.0016278954058863932,0.0021832905978499814,0.005528008563559668,1.0069344257692594
"mp-300006944, LiTi2O4, LiTiO2, mp-5670, mp-6944",3.6495646396358414,151.67087951174406,-3.260475323333333,3.3e-06,1.0,0.0,0.0,3.0,55.12303287042965,0.19047619047619047,1.6117499524731036,2.4587296463667783,5.248226465908299,419.40255076934943,0.7040637069517036,0.047619047619047616,0.06734350297014738,0.0,0.0,0.3953333333333333,0.17375819202861242,0.0,0.0,0.7892937756065125,0.19142857142857145,3544.0764456359557,0.06734350297014738,0.0,1.5323809523809524,1.779475323319729,0.8546115169004272,0.19047619047619047,0.2693740118805895,239.16141692880203,0.4273057585856421,0.5383715198667604,0.3809523809523809,0.4485919680952381,0.4976190476190476,7.0,-0.30010768695301465,0.7016637822906105,306.2857142857143,5.677429215373143,151.67087951174406,0.8478659919885939,5.285714285714286,0.09230512834809508,0.00014582072040694353,3.7142857142857135,0.42857142857142855,0.4495257793628849,227.0,0.014372025071578653,156.26665883182937,1.4416667418282542e-08,1.5779087167410368,0.0065202544050807386,0.008727596799995149,0.022097942388970167,1.0110922008643954
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",3.5314848916100865,150.2147379102473,-3.339802107222221,0.0,1.0,0.0,0.0,2.0,16.666666666666654,0.3333333333333333,2.1659999999999995,1.0,2.6447000000000003,563.3,0.5284860083333333,0.0,0.0,0.0,0.0,0.3933333333333333,0.21866666666666665,0.0,0.0,0.456960815,0.2533333333333333,6200.338441689601,0.0,0.0,2.4316666666666658,2.285,0.6806628174482414,0.3333333333333333,0.3333333333333333,305.23333333333335,0.34033140883333346,0.4287907058333333,0.6666666666666666,0.7846732666666666,0.6333333333333333,7.0,-0.1358972374237708,0.51275934653398,30077.0,5.6601327746518155,150.2147379102473,0.8397259129740715,6.0,0.07988563683524816,0.0025618334434736392,4.333333333333333,0.3333333333333333,0.4848464661288364,227.0,0.013312184512986257,154.76639468366562,1.03107376672013e-08,0.4714045207910317,0.006363939418078369,0.00881219979540267,0.022312153948153432,0.9821253529274228
"mp-300007936, Li5(NbS2)7, LiNbS2, mp-767171, mp-7936",4.210257639246511,894.4745484083554,-1.6269006454567312,0.00021690000000000001,1.0,0.0,0.0,3.0,861.6662756228154,0.35897435897435903,1.375701139150635,4.471290550249098,9.857247816871276,473.4610368769864,1.7300941978088549,0.06410256410256411,0.09065471553673686,0.0,0.0,0.3804743589743589,0.2520938867662298,0.0,0.0,0.9636415431535128,0.21,7.872652081884499,0.11322770341445955,0.0,3.1935128205128205,3.4560436366851515,1.1989402402016067,0.1794871794871795,0.2538332035028632,283.5655351308351,0.5994701202424699,0.755285023049044,0.35897435897435903,0.1967147001602564,0.5461538461538461,2.0,0.28333453874838405,0.5162361366388715,3433.8076923076924,11.251808637821153,894.4745484083554,5.000264735961281,7.0,0.05813468934642105,0.10356816662025306,5.9230769230769225,0.4615384615384616,0.8403561064872559,15.0,0.013374906733537249,921.5780216996768,1.5843074676772444,3.0118110693002915,0.009593853658514916,0.0025727357586634034,0.02225086060717565,1.1415202785107488
"mp-300007936, Li9(NbS2)14, Li5(NbS2)7, mp-767218, mp-767171",4.188001149182962,896.4759956261348,-1.6178116200735295,0.0049613,1.0,0.0,0.0,3.0,890.2579806296843,0.3660130718954249,1.277498597955141,4.586009552695253,10.111312939878582,491.1952704550656,1.7655671594986841,0.05882352941176471,0.0831890330807703,0.0,0.0,0.36452287581699344,0.22900222051763555,0.0,0.0,0.9978234484640638,0.2077124183006536,7.886206971856906,0.11358266141818806,0.0,3.236522875816993,3.538731912741972,1.2620318868111997,0.18300653594771246,0.2588103251401743,291.84472550310267,0.6310159435455558,0.7950302698689882,0.3660130718954249,0.20054340584967328,0.538235294117647,2.0,0.4929784225914093,1.2825358460278948,575.0196078431372,5.5551799764367535,896.4759956261348,5.011453166042074,6.882352941176473,0.05688942063014143,0.08950871404324105,6.03921568627451,0.4509803921568628,0.8441187804486929,2.0,0.01353539745537603,923.6401147696021,11.44683522522665,2.9236076579789496,0.009567865836059793,0.0025669919408128627,0.022201183958528384,1.1357237339801642
"mp-300007955, Sb, Li3Sb, mp-80, mp-7955",7.376653899437603,54.81813889529909,0.27681376500000043,-0.000113,0.0,1.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,0.0,0.0,0.0,0.0,1.26,30.191423443789105,0.0,0.0,19.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.22744721,4.4,6.0,-2.210026580761672,1.6518798738549585,577.0,3.3446981539999996,54.81813889529908,0.3064427124247836,12.0,0.03648427400681984,0.0,8.0,1.0,0.9126166691138948,194.0,0.031546911564760416,56.47918332196554,14.142135620448068,0.0,0.0,0.031546911564760416,0.031546911564760416,1.8059751221709108
"mp-300009158, CuO2, LiCuO2, mp-704672, mp-9158",2.6079992855678467,121.66863693340021,-0.4145196058333329,-0.00040869999999999996,1.0,0.0,0.0,2.0,99.99999999999996,1.6666666666666663,0.7576666666666666,2.1666666666666665,5.257866666666667,503.3,0.29472121666666673,0.0,0.0,0.0,0.0,0.3701666666666665,0.2418333333333333,0.0,0.0,0.2127693233333333,0.245,6199.370712485116,0.16666666666666666,0.0,2.34,2.1933333333333334,0.8179390287115681,0.3333333333333333,0.3333333333333333,208.0283333333333,0.4089695145000001,0.5152693,0.6666666666666666,0.7719746883333333,0.7416666666666667,3.0,-0.6789598951469062,0.7911589391346271,345.66666666666674,2.7685698284788973,121.66863693340021,0.6801483572820577,5.0,0.0493142698991879,0.19291155787855585,3.6666666666666665,0.3333333333333333,0.6865605443176005,69.0,0.01324086069846464,125.3553183011192,9.425118444474453,0.4714045207910317,0.003339138832611906,0.01087973298660143,0.01796311612219106,0.7179591677459487
"mp-300010179, MgSbPd, LiMgSbPd, mp-10183, mp-10179",6.539553134720559,64.11159307548014,-0.6324340283333333,1e-07,1.0,1.0,0.0,3.0,640.7942602353874,2.222222222222222,0.8329793486902405,5.775640630385344,14.26195225411884,264.0733624217724,0.6083611536408253,0.1111111111111111,0.15713484026367722,0.0,0.0,0.16377777777777774,0.12541614679355767,0.0,0.0,0.4954926356689271,0.4555555555555555,7.568011423108832,0.0,0.0,5.00111111111111,1.5925993970569534,0.2497721078485857,0.0,0.0,143.74874959413225,0.1248860539364756,0.1573465681522244,0.3333333333333333,0.033645595555555616,1.4777777777777783,7.0,0.07557170030816247,1.090928528172656,238.66666666666663,4.3332106166002164,64.11159307548014,0.3583947006564444,8.0,0.04679340905580098,0.0,3.6666666666666665,1.0,0.8814887554110341,216.0,0.037438997827619384,66.05423845726028,2.335505546158984e-09,3.091206165165235,0.008064510837656969,0.02697395115168572,0.046597919149607626,1.6501590593694808
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",3.059342109633916,217.1479323563651,-3.323135789351851,0.0,1.0,1.0,0.0,3.0,394.5096451068142,0.07407407407407407,0.44962116045474254,1.235061629669116,2.3340557510476536,263.4092236324503,0.8487108396313587,0.0,0.0,0.0,0.0,0.2761481481481481,0.2409665949106344,0.0,0.0,0.3302515703312939,0.16740740740740742,4133.73526190846,0.0,0.0,4.2922222222222235,4.889440457101314,1.172371424826317,0.2222222222222222,0.31426968052735443,138.21277844758157,0.5861857125320651,0.7385477183035934,0.7407407407407408,0.5534080003703704,0.4888888888888889,1.0,0.05129630622175737,0.5373186952089316,30455.444444444438,6.213544883391968,217.1479323563651,1.2138938448058954,4.111111111111111,0.08289279941408745,0.02937797079465837,5.0,0.3333333333333333,0.5009696700224413,15.0,0.006167798514157314,223.7277318546952,12.36671711455983,1.6329931618554518,0.0037259182110283813,0.0017498996859022546,0.015434705369584484,0.8760648417394064
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",3.5476434031701705,217.41971994324302,-0.9549349302083338,8.0154018,1.0,0.0,0.0,2.0,283.3333333333333,0.8333333333333333,0.9666666666666666,1.333333333333333,2.0223166666666668,251.42666666666665,1.2590215649999998,0.0,0.0,0.0,0.0,0.3108333333333333,0.16116666666666665,0.0,0.0,0.5832048799999998,0.2883333333333333,11.071004843872666,0.16666666666666666,0.0,4.073666666666667,2.926333333333333,1.5421629434541395,0.3333333333333333,0.3333333333333333,233.88,0.7710814718333331,0.9715017773333332,0.6666666666666666,0.36496068291666667,0.775,2.0,-0.08573035228906628,0.5072181814196637,3819.666666666666,6.346351807994592,217.4197199432431,1.2154131836051405,6.0,0.0551927856550113,0.05944807794802873,8.0,0.3333333333333333,0.8309586894376785,1.0,0.06580556072494398,224.00775487724337,0.30823689814437605,0.0,0.036395471716173015,0.014334591014965696,0.0915410455799331,0.9999653812108088
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",3.5373010650254666,223.57963807466405,-0.9767806898347698,11.9422587,1.0,0.0,0.0,2.0,33.333333333333314,0.8333333333333333,0.6000000000000001,1.166666666666667,1.5319924999999994,149.76,1.3260382299999998,0.0,0.0,0.0,0.0,0.3158333333333333,0.15616666666666665,0.0,0.0,0.4774720766666667,0.2683333333333333,11.090966009156816,0.0,0.13642881666666667,2.725333333333333,1.5779999999999996,1.5622442074581702,0.3333333333333333,0.3333333333333333,123.71333333333334,0.7811221038333331,0.9841521809999999,0.6666666666666666,0.3898349379733333,0.7416666666666667,2.0,0.012189485435039468,0.5079897305830351,3849.666666666666,6.439409288145878,223.579638074664,1.2498481727993689,6.0,0.05367215057389359,0.13374528649827966,8.666666666666666,0.3333333333333333,0.8472245443292828,12.0,0.0670541106302724,230.3543246879644,0.12979572153121124,0.9428090415820632,0.031062998214269368,0.023124397267681413,0.08901896731156789,0.9897795507370932
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",4.593394641387274,230.04900383934063,-0.7963928874999997,0.0,1.0,0.0,0.0,2.0,275.0,2.5,1.337,5.25,11.88665,777.475,0.32630154999999994,0.0,0.0,0.0,0.0,0.32575,0.13325,0.0,0.0,0.2957839175,0.3675,4651.0067771053245,0.25,0.0,3.455,3.345,0.08853835020191014,0.25,0.25,325.7425,0.04426917499999994,0.055775665500000016,0.5,0.58370195875,1.1125,3.0,-0.5915502051566236,0.3117580786958009,22809.0,6.235623857,230.0490038393406,1.2860130268521932,4.25,0.06955039897140318,0.032229320305946565,3.5,0.5,0.6282976202831245,62.0,0.007627223065032894,237.01971870467648,0.0,0.5,0.0018731347595534425,0.005754088305479451,0.009500357824586336,1.2488412424824966
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",5.73257235072325,590.932903045659,-3.1456214726315794,1.9946475,1.0,0.0,0.0,3.0,429.197537639476,0.21052631578947367,3.334940496764382,2.899464507293561,8.009188731817341,300.4279484244457,0.6772215203448657,0.07017543859649122,0.09924305700863824,0.0,0.0,0.22152631578947368,0.25333071024544696,0.0,0.0,0.5511520562044847,0.1431578947368421,3919.6535004125,0.07443229275647867,0.0,2.124912280701754,1.9285630326446028,0.9301451025274832,0.21052631578947367,0.29772917102591473,163.5240896371509,0.4650725514128706,0.5859546971184814,0.42105263157894735,0.4835874305263158,0.3759649122807017,1.0,-0.4104864213271099,0.7357939794268865,309.7368421052632,5.6195258428957615,590.9329030456589,3.3034153533784707,6.36842105263158,0.06430510097533677,0.14774655330164288,3.4736842105263164,0.3684210526315789,0.4486555884564775,186.0,0.005000968983578997,608.8387609408456,14.142802764979795,1.92950555577088,0.004742399325851781,0.00224005513292068,0.014113741906585044,1.455229293599596
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",5.341143320887457,349.00439030007277,-1.733802357954545,1.8966477,1.0,0.0,0.0,3.0,112.08025459943596,0.9090909090909092,2.948014115464349,2.394131177588325,6.63451328461326,337.9016781483934,0.5743217166915853,0.060606060606060615,0.08570991287109668,0.0,0.0,0.21427272727272725,0.2044424387053765,0.0,0.0,0.4109130125100231,0.1827272727272727,3385.4124663054995,0.128564869306645,0.0,1.7078787878787878,1.4941054674426624,0.5738902490114317,0.1818181818181818,0.25712973861329,139.23864516980765,0.2869451246120587,0.3615282025910189,0.3636363636363636,0.4210771027272727,0.5451515151515152,3.0,-0.3419122928914112,0.6502316836502013,8847.727272727272,8.665331834400776,349.00439030007277,1.950993852892077,5.636363636363638,0.06303645630670858,0.02409520102888955,3.0,0.4545454545454545,0.51338012873539,69.0,0.008121681164278319,359.57957233055527,10.91516449448442,1.4770978917519928,0.007510886538166098,0.003792852810650935,0.023897333986327603,1.373826652048727
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",4.0871712706275565,312.6302162056104,-1.7125915267627587,2.0000001,1.0,0.0,0.0,3.0,687.2997543873796,0.23809523809523805,7.587167512131442,5.5036578230397435,13.905907300015704,120.72696204692372,0.6643633375024106,0.09523809523809523,0.13468700594029476,0.0,0.0,0.22071428571428567,0.21485964410904776,0.0,0.0,0.5182324973123865,0.12904761904761905,3553.138733430431,0.13468700594029476,0.0389796619047619,0.8557142857142858,0.7250362411772313,1.182199976358293,0.19047619047619047,0.2693740118805895,77.89240431736677,0.5910999882328116,0.7447393177399506,0.3809523809523809,0.44487453953999995,0.3976190476190475,3.0,-0.18815824185241464,0.39145604673542894,25943.285714285717,6.283917590452516,312.6302162056102,1.747656038140483,4.857142857142857,0.044781339980242016,0.15617095702498848,3.7142857142857135,0.42857142857142855,0.4496770756660391,36.0,0.013374899700531887,322.10322438685637,15.448258019832089,3.103651568914348,0.011351571806382329,0.004234146970005494,0.030075069552541918,1.036934667871735
