,density,energy_per_atom,nelements,bandgap,volume,energy,formationenergy_pa,total_magnetization,transition,metalloid,rare,other,alkaline,ICSDVolum wmean,NdValenc wmean,IsMetalloid wmean,IsMetalloid wstd,BulkModulus wstd,Polarizability wmean,Polarizability wstd,Number wstd,AtomicWeigh wstd,BoilingT wstd,HHIr wmean,HHIr wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,IsFBlock wstd,MiracleRadius wmean,n_ws^third wmean,n_ws^third wstd,BCCmagmom wmean,BCCmagmom wstd,HeatFusion wstd,GSefflatcn wstd,BCCvolume_padiff wmean,IsNonm wmean,IsNonm wstd,MeltingT wstd,GSestBCClatcn wstd,GSvolume_p wmean,GSestFCClatcn wstd,NpUnfilled wmean,BCCenergydiff wmean,ShearModulus wmean,phi wmean,phi wstd,NUnfilled wstd,BCCvolume_p wmean,ShannonForce,meanbv,stdbv,meanValenceOcc,vx,vy,strainlatticemean,strainlatticestd,Coordination,numberDensity,li-ion fittability,maxForce,oxidation flexibility,avgIonicRadVol,SpaceGroup,deltaShannon,detLatticeVec,avgCentralDistance Std,oxidation flexibility Std,deltaShannonstd,deltashannonmin,deltashannonmax,chargedensityvoldens
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",3.6154980710055713,-8.356526071666666,3.0,0.0,606.0241412335738,-451.25240787,-3.2956563877160496,0.0001173,1.0,0.0,0.0,3.0,0.0,5.975432098765433,0.19753086419753085,0.0,0.0,15.084469777598072,2.501691358024692,1.5785164608074522,2.60004806915104,5.556168911973002,445.3474076915352,412.34567901234567,82.11500813983153,0.037037037037037035,0.05237828008789242,0.0,0.0,0.0,32.2962962962963,0.18641975308641973,0.19186217936198915,0.0,0.0,1.8689487650438108,0.981423829162318,-0.3388888888876543,0.19753086419753085,0.2793508271354261,251.68055312778927,0.4907119147141584,4.061481481480247,0.6182582706753187,0.3950617283950617,0.4651527554320987,4.501234567901236,0.4808641975308641,0.4740941675268481,0.922710466224928,3.722592592592593,0.0,-0.3316869678332809,0.7101274824489421,312.0,5.675031440340322,21.83192493730012,606.0241412335738,3.3877779395105363,5.333333333333333,0.0891053611991132,6.648186963383112,0.0300991154036078,3.851851851851852,0.4590044218628718,59.0,0.0035308634472804514,624.3872787370924,0.2896379034135917,1.4325244152454604,0.0016246099220026606,0.002184273187508149,0.0055304964431164075,1.0025828861634871
"mp-300006944, Li7Ti16O32, LiTi2O4, mp-530141, mp-5670",3.63288180837792,-8.282096483454549,3.0,0.0,606.2968823218938,-455.51530659,-3.2785361468484853,0.0006004,1.0,0.0,0.0,3.0,0.0,5.997878787878787,0.19393939393939394,0.0,0.0,14.766027074184699,2.603690909090909,1.5824005300035044,2.528093755163047,5.399358280888113,431.9476058456348,430.3030303030303,102.52281432140848,0.04242424242424242,0.05999693900976767,0.0,0.0,0.0,32.630303030303025,0.18896969696969693,0.18614780307961806,0.0,0.0,1.8232540481651471,0.9163999306783628,-0.3332323232309091,0.19393939393939394,0.2742717211875093,245.28293762858812,0.4581999654735411,4.0882020202006055,0.57729578144904,0.3878787878787879,0.4567218091515151,4.4448484848484835,0.4893939393939393,0.4601019969165258,0.8986470802485824,3.754969696969697,0.0,-0.3156102430215089,0.7058186896410643,309.09090909090907,11.062913315840108,14.541327325146892,606.2968823218936,3.389302608544845,5.363636363636363,0.0907146343708222,11.518042560172008,0.029648306902231362,3.7818181818181817,0.4542112645479228,121.0,0.003562886517256829,624.668284153129,0.3020986271425919,1.5098574176019413,0.0016278954058863932,0.0021832905978499814,0.005528008563559668,1.0069344257692594
"mp-300006944, LiTi2O4, LiTiO2, mp-5670, mp-6944",3.6495646396358414,-8.208773075,3.0,0.0,151.67087951174406,-114.92282305,-3.260475323333333,3.3e-06,1.0,0.0,0.0,3.0,0.0,6.01952380952381,0.19047619047619047,0.0,0.0,14.459420110501414,2.70204761904762,1.6117499524731036,2.4587296463667783,5.248226465908299,419.40255076934943,447.6190476190477,128.4832148879242,0.047619047619047616,0.06734350297014738,0.0,0.0,0.0,32.95238095238095,0.19142857142857145,0.18098746527048226,0.0,0.0,1.779475323319729,0.8546115169004272,-0.3277777777761904,0.19047619047619047,0.2693740118805895,239.16141692880203,0.4273057585856421,4.113968253966667,0.5383715198667604,0.3809523809523809,0.4485919680952381,4.39047619047619,0.4976190476190476,0.4478342947514801,0.8754655386119159,3.786190476190476,0.0,-0.30010768695301465,0.7016637822906105,306.2857142857143,5.677429215373143,5.677429217287521,151.67087951174406,0.8478659919885939,5.285714285714286,0.09230512834809508,6.651147177777778,0.00014582072040694353,3.7142857142857135,0.4495257793628849,227.0,0.014372025071578653,156.26665883182937,0.3297748153557535,1.5779087167410368,0.0065202544050807386,0.008727596799995149,0.022097942388970167,1.0110922008643954
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",3.5314848916100865,-8.794673554166666,2.0,1.712,150.2147379102473,-105.53608265,-3.339802107222221,0.0,1.0,0.0,0.0,2.0,0.0,8.731666666666666,0.3333333333333333,0.0,0.0,18.33333333333333,2.7006666666666663,2.1659999999999995,1.0,2.6447000000000003,563.3,433.33333333333326,99.99999999999996,0.0,0.0,0.0,0.0,0.0,45.0,0.2533333333333333,0.2533333333333333,0.0,0.0,2.285,0.6806628174482414,-0.5666666666666668,0.3333333333333333,0.3333333333333333,305.23333333333335,0.34033140883333346,5.816666666666666,0.4287907058333333,0.6666666666666666,0.7846732666666666,7.333333333333332,0.6333333333333333,0.6333333333333333,0.6666666666666666,5.25,-0.8679325670873069,-0.1358972374237708,0.51275934653398,30077.0,5.6601327746518155,5.660132776957978,150.2147379102473,0.8397259129740715,6.0,0.07988563683524816,6.6297935444444445,0.0025618334434736392,4.333333333333333,0.4848464661288364,227.0,0.013312184512986257,154.76639468366562,0.23522776302288004,0.4714045207910317,0.006363939418078369,0.00881219979540267,0.022312153948153432,0.9821253529274228
"mp-300007936, Li5(NbS2)7, LiNbS2, mp-767171, mp-7936",4.210257639246511,-6.5829887413461545,3.0,0.0,894.4745484083554,-342.31541455,-1.6269006454567312,0.00021690000000000001,1.0,0.0,0.0,3.0,0.0,7.638974358974358,0.35897435897435903,0.0,0.0,20.11705423608063,3.4894230769230767,1.375701139150635,4.471290550249098,9.857247816871276,473.4610368769864,1238.4615384615386,807.0937953406143,0.06410256410256411,0.09065471553673686,0.0,0.0,0.0,41.06410256410256,0.21,0.180899571122618,0.0,0.0,3.4560436366851515,1.1989402402016067,-1.8301655982884613,0.1794871794871795,0.2538332035028632,283.5655351308351,0.5994701202424699,7.32362713675,0.755285023049044,0.35897435897435903,0.1967147001602564,3.6794871794871793,0.5461538461538461,0.4451497321392754,0.6911195883047977,5.493461538461538,-0.5764472299486837,0.28333453874838405,0.5162361366388715,3433.8076923076924,11.251808637821153,5.554589812180102,894.4745484083554,5.000264735961281,7.0,0.05813468934642105,6.4994935952840756,0.10356816662025306,5.9230769230769225,0.8403561064872559,15.0,0.013374906733537249,921.5780216996768,0.2756204258589105,3.0118110693002915,0.009593853658514916,0.0025727357586634034,0.02225086060717565,1.1415202785107488
"mp-300007936, Li9(NbS2)14, Li5(NbS2)7, mp-767218, mp-767171",4.188001149182962,-6.633649373137255,3.0,0.0,896.4759956261348,-338.31611803,-1.6178116200735295,0.0049613,1.0,0.0,0.0,3.0,0.0,7.647385620915033,0.3660130718954249,0.0,0.0,20.56610899427561,3.398790849673204,1.277498597955141,4.586009552695253,10.111312939878582,491.1952704550656,1235.2941176470588,838.3417353968576,0.05882352941176471,0.0831890330807703,0.0,0.0,0.0,40.875816993464056,0.2077124183006536,0.1854290640695256,0.0,0.0,3.538731912741972,1.2620318868111997,-1.865506535945752,0.18300653594771246,0.2588103251401743,291.84472550310267,0.6310159435455558,7.358774509801961,0.7950302698689882,0.3660130718954249,0.20054340584967328,3.7241830065359474,0.538235294117647,0.4545616543196915,0.7128079524448706,5.493267973856209,0.0,0.4929784225914093,1.2825358460278948,575.0196078431372,5.5551799764367535,11.26024954923415,896.4759956261348,5.011453166042074,6.882352941176473,0.05688942063014143,6.500222193131792,0.08950871404324105,6.03921568627451,0.8441187804486929,2.0,0.01353539745537603,923.6401147696021,0.29363677568484936,2.9236076579789496,0.009567865836059793,0.0025669919408128627,0.022201183958528384,1.1357237339801642
"mp-300007955, Sb, Li3Sb, mp-80, mp-7955",7.376653899437603,-3.847515815,1.0,0.0,54.81813889529909,-7.69503163,0.27681376500000043,-0.000113,0.0,1.0,0.0,1.0,0.0,30.21,10.0,1.0,0.0,0.0,6.6,0.0,0.0,0.0,0.0,3400.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,1.26,0.0,0.0,0.0,0.0,0.0,-4.47,0.0,0.0,0.0,0.0,31.56,0.0,3.0,0.22744721,20.0,4.4,0.0,0.0,27.09,0.0,-2.210026580761672,1.6518798738549585,577.0,3.3446981539999996,3.344698154643085,54.81813889529908,0.3064427124247836,12.0,0.03648427400681984,3.7712322888888887,0.0,8.0,0.9126166691138948,194.0,0.031546911564760416,56.47918332196554,0.13560818350177986,0.0,0.0,0.031546911564760416,0.031546911564760416,1.8059751221709108
"mp-300009158, CuO2, LiCuO2, mp-704672, mp-9158",2.6079992855678467,-4.6029490016666665,2.0,0.0,121.66863693340021,-27.61769401,-0.4145196058333329,-0.00040869999999999996,1.0,0.0,0.0,2.0,0.0,7.754999999999999,1.6666666666666663,0.0,0.0,23.33333333333333,1.2923333333333331,0.7576666666666666,2.1666666666666665,5.257866666666667,503.3,416.6666666666666,83.33333333333334,0.0,0.0,0.0,0.0,0.0,42.33333333333333,0.245,0.245,0.0,0.0,2.1933333333333334,0.8179390287115681,-0.59,0.3333333333333333,0.3333333333333333,208.0283333333333,0.4089695145000001,4.88,0.5152693,0.6666666666666666,0.7719746883333333,8.0,0.7416666666666667,0.7416666666666667,0.5,4.29,0.06720971642977977,-0.6789598951469062,0.7911589391346271,345.66666666666674,2.7685698284788973,3.915055324817112,121.66863693340021,0.6801483572820577,5.0,0.0493142698991879,3.0599627512085146,0.19291155787855585,3.6666666666666665,0.6865605443176005,69.0,0.01324086069846464,125.3553183011192,0.2161384930529919,0.4714045207910317,0.003339138832611906,0.01087973298660143,0.01796311612219106,0.7179591677459487
"mp-300010179, MgSbPd, LiMgSbPd, mp-10183, mp-10179",6.539553134720559,-4.262654683333333,3.0,0.0,64.11159307548014,-12.78796405,-0.6324340283333333,1e-07,1.0,1.0,0.0,3.0,1.0,7.601111111111113,2.222222222222222,0.1111111111111111,0.15713484026367722,21.45279054627212,2.462962962966667,0.8329793486902405,5.775640630385344,14.26195225411884,264.0733624217724,1322.2222222222224,1029.3231624905302,0.1111111111111111,0.15713484026367722,0.0,0.0,0.0,50.77777777777778,0.4555555555555555,0.07253777219533096,0.0,0.0,1.5925993970569534,0.2497721078485857,-0.4911111111111111,0.0,0.0,143.74874959413225,0.1248860539364756,7.651111111111112,0.1573465681522244,0.3333333333333333,0.033645595555555616,9.0,1.4777777777777783,0.2722789056631744,0.4714045207910317,7.1599999999999975,0.0,0.07557170030816247,1.090928528172656,238.66666666666663,4.3332106166002164,4.33321061612002,64.11159307548014,0.3583947006564444,8.0,0.04679340905580098,4.9916180444444445,0.0,3.6666666666666665,0.8814887554110341,216.0,0.037438997827619384,66.05423845726028,0.2994503936286876,3.091206165165235,0.008064510837656969,0.02697395115168572,0.046597919149607626,1.6501590593694808
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",3.059342109633916,-8.228502344444442,3.0,3.3233000000000006,217.1479323563651,-148.11304219999997,-3.323135789351851,0.0,1.0,1.0,0.0,3.0,0.0,5.9951851851851865,0.07407407407407407,0.07407407407407407,0.10475656017578484,9.087291960285404,1.1285925925925924,0.44962116045474254,1.235061629669116,2.3340557510476536,263.4092236324503,244.44444444444443,65.42045086168774,0.0,0.0,0.0,0.0,0.0,27.62962962962963,0.16740740740740742,0.1360867955101027,0.0,0.0,4.889440457101314,1.172371424826317,-0.8207407407407407,0.2222222222222222,0.31426968052735443,138.21277844758157,0.5861857125320651,4.155555555555557,0.7385477183035934,0.7407407407407408,0.5534080003703704,1.6296296296296295,0.4888888888888889,0.42899058475763735,0.2095131203515697,3.3348148148148145,-2.26218585701416,0.05129630622175737,0.5373186952089316,30455.444444444438,6.213544883391968,6.213544879078343,217.1479323563651,1.2138938448058954,4.111111111111111,0.08289279941408745,5.961775546684597,0.02937797079465837,5.0,0.5009696700224413,15.0,0.006167798514157314,223.7277318546952,0.16261565837039987,1.6329931618554518,0.0037259182110283813,0.0017498996859022546,0.015434705369584484,0.8760648417394064
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",3.5476434031701705,-6.477399040833332,2.0,0.0,217.41971994324302,-77.72878849,-0.9549349302083338,8.0154018,1.0,0.0,0.0,2.0,0.0,10.588333333333333,0.8333333333333333,0.0,0.0,24.1,2.8999999999999995,0.9666666666666666,1.333333333333333,2.0223166666666668,251.42666666666665,1016.6666666666664,349.99999999999994,0.0,0.0,0.0,0.0,0.0,55.99999999999999,0.2883333333333333,0.2883333333333333,0.0,0.0,2.926333333333333,1.5421629434541395,-3.3922916666666665,0.3333333333333333,0.3333333333333333,233.88,0.7710814718333331,10.460625,0.9715017773333332,0.6666666666666666,0.36496068291666667,19.166666666666664,0.775,0.775,0.33333333333333337,7.0683333333333325,-0.5408001122432726,-0.08573035228906628,0.5072181814196637,3819.666666666666,6.346351807994592,6.3848429691815145,217.4197199432431,1.2154131836051405,6.0,0.0551927856550113,7.476977540734063,0.05944807794802873,8.0,0.8309586894376785,1.0,0.06580556072494398,224.00775487724337,0.2464722512993211,0.0,0.036395471716173015,0.014334591014965696,0.0915410455799331,0.9999653812108088
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",3.5373010650254666,-6.339509763333332,2.0,0.0,223.57963807466405,-76.07411716,-0.9767806898347698,11.9422587,1.0,0.0,0.0,2.0,0.0,10.62,0.8333333333333333,0.0,0.0,17.433333333333334,2.533333333333333,0.6000000000000001,1.166666666666667,1.5319924999999994,149.76,633.3333333333333,33.333333333333314,0.0,0.0,0.0,0.0,0.0,56.33333333333333,0.2683333333333333,0.2683333333333333,0.13642881666666667,0.13642881666666667,1.5779999999999996,1.5622442074581702,-3.38522270115,0.3333333333333333,0.3333333333333333,123.71333333333334,0.7811221038333331,10.343556034483331,0.9841521809999999,0.6666666666666666,0.3898349379733333,13.0,0.7416666666666667,0.7416666666666667,0.16666666666666666,6.958333333333332,-0.5901226440814651,0.012189485435039468,0.5079897305830351,3849.666666666666,6.439409288145878,6.436793698513143,223.579638074664,1.2498481727993689,6.0,0.05367215057389359,7.566759544555802,0.13374528649827966,8.666666666666666,0.8472245443292828,12.0,0.0670541106302724,230.3543246879644,0.2380666484404787,0.9428090415820632,0.031062998214269368,0.023124397267681413,0.08901896731156789,0.9897795507370932
