,density,volume,atomMean,transition,metalloid,rare,other,NdValenc wmean,BulkModulus wstd,Polarizability wstd,AtomicWeigh wstd,BoilingT wstd,BCCfermi wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,AtomicVolum wmean,NsUnfilled wstd,HeatFusion wmean,HeatFusion wstd,GSefflatcn wstd,BCCvolume_padiff wmean,BCCvolume_padiff wstd,MeltingT wstd,GSestBCClatcn wstd,GSestFCClatcn wstd,BCCenergydiff wmean,GSmagmom wstd,SpaceGroupNumber wstd,NUnfilled wstd,meanbv,vx,VegardVolume,strainlatticemean,strainlatticestd,Coordination,numberDensity,initialAnisotropy,li-ion fittability,oxidation flexibility,NNDist,positiveoxidationpop,avgIonicRadVol,AtomicNum Density,deltaShannon,detLatticeVec,oxidation flexibility Std,deltaShannonstd,deltashannonmax,chargedensityvoldens,positiveoxpopdens
"mp-300006944, Li3Ti8O16, Li7Ti16O32, mp-531914, mp-530141",3.6154980710055713,606.0241412335738,11.592592592592592,1.0,0.0,0.0,3.0,0.19753086419753085,15.084469777598072,1.5785164608074522,5.556168911973002,445.3474076915352,0.7335185670870344,0.037037037037037035,0.05237828008789242,0.0,0.0,0.36575308641975307,3675.072560189388,0.05237828008789242,1.5520987654320983,1.8689487650438108,0.981423829162318,-0.3388888888876543,0.5046174536991959,251.68055312778927,0.4907119147141584,0.6182582706753187,0.4651527554320987,3.1473526523878122e-06,20.815744747324427,0.922710466224928,-0.3316869678332809,5.675031440340322,1.96625947901256,606.0241412335738,3.3877779395105363,5.333333333333333,0.0891053611991132,-0.12201482896827814,6.648186963383112,3.851851851851852,0.7460135538852478,0.4074074074074074,0.4590044218628718,11.592592592592592,0.0035308634472804514,624.3872787370924,1.4325244152454604,0.0016246099220026606,0.0055304964431164075,1.0025828861634871,0.036302184192231315
"mp-300006944, Li7Ti16O32, LiTi2O4, mp-530141, mp-5670",3.63288180837792,606.2968823218938,11.436363636363636,1.0,0.0,0.0,3.0,0.19393939393939394,14.766027074184699,1.5824005300035044,5.399358280888113,431.9476058456348,0.7185226406348749,0.04242424242424242,0.05999693900976767,0.0,0.0,0.3808121212121212,3608.383629144005,0.05999693900976767,1.542060606060606,1.8232540481651471,0.9163999306783628,-0.3332323232309091,0.4951130836654046,245.28293762858812,0.4581999654735411,0.57729578144904,0.4567218091515151,3.0901280587080338e-06,20.225870567676086,0.8986470802485824,-0.3156102430215089,11.062913315840108,2.5523832862670983,606.2968823218936,3.389302608544845,5.363636363636363,0.0907146343708222,0.06751646398362905,11.518042560172008,3.7818181818181817,1.250797717562696,0.41818181818181815,0.4542112645479228,11.436363636363636,0.003562886517256829,624.668284153129,1.5098574176019413,0.0016278954058863932,0.005528008563559668,1.0069344257692594,0.03793521073688928
"mp-300006944, LiTi2O4, LiTiO2, mp-5670, mp-6944",3.6495646396358414,151.67087951174406,11.285714285714285,1.0,0.0,0.0,3.0,0.19047619047619047,14.459420110501414,1.6117499524731036,5.248226465908299,419.40255076934943,0.7040637069517036,0.047619047619047616,0.06734350297014738,0.0,0.0,0.3953333333333333,3544.0764456359557,0.06734350297014738,1.5323809523809524,1.779475323319729,0.8546115169004272,-0.3277777777761904,0.4859489525461708,239.16141692880203,0.4273057585856421,0.5383715198667604,0.4485919680952381,3.034947200516818e-06,19.84303484213117,0.8754655386119159,-0.30010768695301465,5.677429215373143,1.2065712690528545,151.67087951174406,0.8478659919885939,5.285714285714286,0.09230512834809508,1.6991941187427528e-10,6.651147177777778,3.7142857142857135,0.8775042739594697,0.42857142857142855,0.4495257793628849,11.285714285714285,0.014372025071578653,156.26665883182937,1.5779087167410368,0.0065202544050807386,0.022097942388970167,1.0110922008643954,0.03955934072061218
"mp-300006944, TiO2, Li3Ti8O16, mp-25262, mp-531914",3.5314848916100865,150.2147379102473,12.666666666666664,1.0,0.0,0.0,2.0,0.3333333333333333,18.33333333333333,2.1659999999999995,2.6447000000000003,563.3,0.5284860083333333,0.0,0.0,0.0,0.0,0.3933333333333333,6200.338441689601,0.0,2.4316666666666658,2.285,0.6806628174482414,-0.5666666666666668,0.6166666666666665,305.23333333333335,0.34033140883333346,0.4287907058333333,0.7846732666666666,3.75555555555e-06,28.33333333333333,0.6666666666666666,-0.1358972374237708,5.6601327746518155,1.2071668820637784,150.2147379102473,0.8397259129740715,6.0,0.07988563683524816,4.533489879795145e-10,6.6297935444444445,4.333333333333333,0.8810937648754305,0.3333333333333333,0.4848464661288364,12.666666666666664,0.013312184512986257,154.76639468366562,0.4714045207910317,0.006363939418078369,0.022312153948153432,0.9821253529274228,0.026628545611749387
"mp-300007936, Li5(NbS2)7, LiNbS2, mp-767171, mp-7936",4.210257639246511,894.4745484083554,20.23076923076923,1.0,0.0,0.0,3.0,0.35897435897435903,20.11705423608063,1.375701139150635,9.857247816871276,473.4610368769864,1.7300941978088549,0.06410256410256411,0.09065471553673686,0.0,0.0,0.3804743589743589,7.872652081884499,0.11322770341445955,3.1935128205128205,3.4560436366851515,1.1989402402016067,-1.8301655982884613,2.576921476231411,283.5655351308351,0.5994701202424699,0.755285023049044,0.1967147001602564,0.0,10.1364620675985,0.6911195883047977,0.28333453874838405,11.251808637821153,0.860808630064738,894.4745484083554,5.000264735961281,7.0,0.05813468934642105,-0.05918102148613295,6.4994935952840756,5.9230769230769225,0.5395054386976198,0.4615384615384616,0.8403561064872559,20.23076923076923,0.013374906733537249,921.5780216996768,3.0118110693002915,0.009593853658514916,0.02225086060717565,1.1415202785107488,0.02683139508296356
"mp-300007936, Li9(NbS2)14, Li5(NbS2)7, mp-767218, mp-767171",4.188001149182962,896.4759956261348,20.568627450980394,1.0,0.0,0.0,3.0,0.3660130718954249,20.56610899427561,1.277498597955141,10.111312939878582,491.1952704550656,1.7655671594986841,0.05882352941176471,0.0831890330807703,0.0,0.0,0.36452287581699344,7.886206971856906,0.11358266141818806,3.236522875816993,3.538731912741972,1.2620318868111997,-1.865506535945752,2.627832872798256,291.84472550310267,0.6310159435455558,0.7950302698689882,0.20054340584967328,0.0,11.079813668173324,0.7128079524448706,0.4929784225914093,5.5551799764367535,0.8606074569827005,896.4759956261348,5.011453166042074,6.882352941176473,0.05688942063014143,-0.3752209408445655,6.500222193131792,6.03921568627451,0.5367132290986852,0.4509803921568628,0.8441187804486929,20.568627450980394,0.01353539745537603,923.6401147696021,2.9236076579789496,0.009567865836059793,0.022201183958528384,1.1357237339801642,0.025656013225357897
"mp-300007955, Sb, Li3Sb, mp-80, mp-7955",7.376653899437603,54.81813889529909,51.0,0.0,1.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.207,30.191423443789105,0.0,19.79,0.0,0.0,-4.47,0.0,0.0,0.0,0.0,0.22744721,0.0,0.0,0.0,-2.210026580761672,3.3446981539999996,1.068374539933174,54.81813889529908,0.3064427124247836,12.0,0.03648427400681984,-0.2548608611405929,3.7712322888888887,8.0,0.8705598020408798,1.0,0.9126166691138948,51.0,0.031546911564760416,56.47918332196554,0.0,0.0,0.031546911564760416,1.8059751221709108,0.03648427400681984
"mp-300009158, CuO2, LiCuO2, mp-704672, mp-9158",2.6079992855678467,121.66863693340021,15.0,1.0,0.0,0.0,2.0,1.6666666666666663,23.33333333333333,0.7576666666666666,5.257866666666667,503.3,0.29472121666666673,0.0,0.0,0.0,0.0,0.3701666666666665,6199.370712485116,0.16666666666666666,2.34,2.1933333333333334,0.8179390287115681,-0.59,0.5933333333333332,208.0283333333333,0.4089695145000001,0.5152693,0.7719746883333333,0.0,33.5,0.5,-0.6789598951469062,2.7685698284788973,0.9616747572355772,121.66863693340021,0.6801483572820577,5.0,0.0493142698991879,-0.5093686419428708,3.0599627512085146,3.6666666666666665,0.5554080732729176,0.3333333333333333,0.6865605443176005,15.0,0.01324086069846464,125.3553183011192,0.4714045207910317,0.003339138832611906,0.01796311612219106,0.7179591677459487,0.016438089966395966
"mp-300010179, MgSbPd, LiMgSbPd, mp-10183, mp-10179",6.539553134720559,64.11159307548014,36.333333333333336,1.0,1.0,0.0,3.0,2.222222222222222,21.45279054627212,0.8329793486902405,14.26195225411884,264.0733624217724,0.6083611536408253,0.1111111111111111,0.15713484026367722,0.0,0.0,0.16377777777777774,7.568011423108832,0.0,5.00111111111111,1.5925993970569534,0.2497721078485857,-0.4911111111111111,0.7063853388297212,143.74874959413225,0.1248860539364756,0.1573465681522244,0.033645595555555616,0.0,8.032342031967923,0.4714045207910317,0.07557170030816247,4.3332106166002164,1.2690911830475131,64.11159307548014,0.3583947006564444,8.0,0.04679340905580098,9.896713078679416e-11,4.9916180444444445,3.6666666666666665,0.8430528097804499,1.0,0.8814887554110341,36.333333333333336,0.037438997827619384,66.05423845726028,3.091206165165235,0.008064510837656969,0.046597919149607626,1.6501590593694808,0.04679340905580098
"mp-300011206, Ti(SiO3)2, LiTi(SiO3)2, mp-25301, mp-11206",3.059342109633916,217.1479323563651,10.888888888888893,1.0,1.0,0.0,3.0,0.07407407407407407,9.087291960285404,0.44962116045474254,2.3340557510476536,263.4092236324503,0.8487108396313587,0.0,0.0,0.0,0.0,0.2761481481481481,4133.73526190846,0.0,4.2922222222222235,4.889440457101314,1.172371424826317,-0.8207407407407407,0.5939061829816333,138.21277844758157,0.5861857125320651,0.7385477183035934,0.5534080003703704,1.1802572446454296e-06,17.700759091857716,0.2095131203515697,0.05129630622175737,6.213544883391968,0.9101470183181248,217.1479323563651,1.2138938448058954,4.111111111111111,0.08289279941408745,0.12318149712977294,5.961775546684597,5.0,0.6830594476263095,0.3333333333333333,0.5009696700224413,10.888888888888893,0.006167798514157314,223.7277318546952,1.6329931618554518,0.0037259182110283813,0.015434705369584484,0.8760648417394064,0.027630933138029147
"mp-300016730, CrS2, Li(CrS2)2, mvc-14769, mvc-16730",3.5476434031701705,217.41971994324302,18.666666666666668,1.0,0.0,0.0,2.0,0.8333333333333333,24.1,0.9666666666666666,2.0223166666666668,251.42666666666665,1.2590215649999998,0.0,0.0,0.0,0.0,0.3108333333333333,11.071004843872666,0.16666666666666666,4.073666666666667,2.926333333333333,1.5421629434541395,-3.3922916666666665,3.385625,233.88,0.7710814718333331,0.9715017773333332,0.36496068291666667,0.0,14.833333333333332,0.33333333333333337,-0.08573035228906628,6.346351807994592,1.1846524919080121,217.4197199432431,1.2154131836051405,6.0,0.0551927856550113,-0.00110601047691176,7.476977540734063,8.0,0.8908951917462136,0.3333333333333333,0.8309586894376785,18.666666666666668,0.06580556072494398,224.00775487724337,0.0,0.036395471716173015,0.0915410455799331,0.9999653812108088,0.0183975952183371
"mp-300016742, MnS2, Li(MnS2)2, mvc-34, mvc-16742",3.5373010650254666,223.57963807466405,19.0,1.0,0.0,0.0,2.0,0.8333333333333333,17.433333333333334,0.6000000000000001,1.5319924999999994,149.76,1.3260382299999998,0.0,0.0,0.0,0.0,0.3158333333333333,11.090966009156816,0.0,2.725333333333333,1.5779999999999996,1.5622442074581702,-3.38522270115,3.392693965516666,123.71333333333334,0.7811221038333331,0.9841521809999999,0.3898349379733333,5.1686781609166664e-05,12.833333333333332,0.16666666666666666,0.012189485435039468,6.439409288145878,1.19002431889168,223.579638074664,1.2498481727993689,6.0,0.05367215057389359,0.0022044455657309983,7.566759544555802,8.666666666666666,0.9082964045983518,0.3333333333333333,0.8472245443292828,19.0,0.0670541106302724,230.3543246879644,0.9428090415820632,0.031062998214269368,0.08901896731156789,0.9897795507370932,0.017890716857964527
"mp-300018162, CuO, Li(CuO)2, mp-510752, mp-18162",4.593394641387274,230.04900383934063,18.5,1.0,0.0,0.0,2.0,2.5,35.0,1.337,11.88665,777.475,0.32630154999999994,0.0,0.0,0.0,0.0,0.32575,4651.0067771053245,0.25,3.455,3.345,0.08853835020191014,-0.44125,0.4462499999999999,325.7425,0.04426917499999994,0.055775665500000016,0.58370195875,0.0,53.25,0.25,-0.5915502051566236,6.235623857,0.8739676593214502,230.0490038393406,1.2860130268521932,4.25,0.06955039897140318,-0.3090556852236759,3.141739055555555,3.5,0.4723688377303769,0.5,0.6282976202831245,18.5,0.007627223065032894,237.01971870467648,0.5,0.0018731347595534425,0.009500357824586336,1.2488412424824966,0.03477519948570158
"mp-300018274, Ba4Nb3O12, Ba4LiNb3O12, mp-774719, mp-18274",5.73257235072325,590.932903045659,23.315789473684212,1.0,0.0,0.0,3.0,0.21052631578947367,12.20504414138166,3.334940496764382,8.009188731817341,300.4279484244457,0.6772215203448657,0.07017543859649122,0.09924305700863824,0.0,0.0,0.22152631578947368,3919.6535004125,0.07443229275647867,2.124912280701754,1.9285630326446028,0.9301451025274832,-0.3736842105263158,0.5284692785709987,163.5240896371509,0.4650725514128706,0.5859546971184814,0.4835874305263158,0.0,17.038998954754266,0.5619514869490163,-0.4104864213271099,5.6195258428957615,0.9513891287840476,590.9329030456589,3.3034153533784707,6.36842105263158,0.06430510097533677,-0.4637880534770604,6.579661534439211,3.4736842105263164,0.7177420448415239,0.3684210526315789,0.4486555884564775,23.315789473684212,0.005000968983578997,608.8387609408456,1.92950555577088,0.004742399325851781,0.014113741906585044,1.455229293599596,0.023691352990913548
"mp-300018713, Ba2(CuO2)3, Ba2Li(CuO2)3, mp-25225, mp-18713",5.341143320887457,349.00439030007277,22.454545454545453,1.0,0.0,0.0,3.0,0.9090909090909092,17.602103555733812,2.948014115464349,6.63451328461326,337.9016781483934,0.5743217166915853,0.060606060606060615,0.08570991287109668,0.0,0.0,0.21427272727272725,3385.4124663054995,0.128564869306645,1.7078787878787878,1.4941054674426624,0.5738902490114317,-0.3218181818181818,0.4570494665526183,139.23864516980765,0.2869451246120587,0.3615282025910189,0.4210771027272727,0.0,22.670514986881784,0.4635472285084349,-0.3419122928914112,8.665331834400776,1.3025380363891197,349.00439030007277,1.950993852892077,5.636363636363638,0.06303645630670858,0.1625477026043566,7.818821496363344,3.0,0.8614655970512306,0.4545454545454545,0.51338012873539,22.454545454545453,0.008121681164278319,359.57957233055527,1.4770978917519928,0.007510886538166098,0.023897333986327603,1.373826652048727,0.028652934684867525
"mp-300018722, Cs2MnO4, Cs2LiMnO4, mp-775233, mp-18722",4.0871712706275565,312.6302162056104,23.857142857142854,1.0,0.0,0.0,3.0,0.23809523809523805,7.975654566218196,7.587167512131442,13.905907300015704,120.72696204692372,0.6643633375024106,0.09523809523809523,0.13468700594029476,0.0,0.0,0.22071428571428567,3553.138733430431,0.13468700594029476,0.8557142857142858,0.7250362411772313,1.182199976358293,-0.12131362889999996,0.6839660446491863,77.89240431736677,0.5910999882328116,0.7447393177399506,0.44487453953999995,2.0884613584885644e-05,24.034272581116362,0.3499271061118825,-0.18815824185241464,6.283917590452516,0.9895390552524186,312.6302162056102,1.747656038140483,4.857142857142857,0.044781339980242016,-0.13700599984700568,7.399898259817919,3.7142857142857135,0.8320360521604923,0.42857142857142855,0.4496770756660391,23.857142857142854,0.013374899700531887,322.10322438685637,3.103651568914348,0.011351571806382329,0.030075069552541918,1.036934667871735,0.019192002848675147
"mp-300018767, MnO2, LiMnO2, mp-33009, mp-18767",4.9230089399244985,58.647878382141705,13.666666666666664,1.0,0.0,0.0,2.0,0.8333333333333333,20.0,1.2993333333333337,3.823207500000001,358.9666666666667,0.23797928,0.0,0.0,0.0,0.0,0.3858333333333333,6199.434506240733,0.0,2.225,2.078333333333333,0.8346503620711965,-0.5879310344833332,0.5954022988499998,234.9,0.4173251811666667,0.5257967803333334,0.7907058467233333,5.1686781609166664e-05,32.166666666666664,0.16666666666666666,-0.18750653943075327,2.9406425510000003,1.0963607039829448,58.647878382141705,0.3278516069965252,6.0,0.10230549110241983,-0.17728582158937276,3.272398211111111,6.0,0.7334666609930053,0.3333333333333333,0.33199307036281056,13.666666666666664,0.044432348636284806,60.42496774499898,2.8284271247461903,0.030917073416854863,0.08815569317128565,1.3570549238197425,0.03410183036747329
"mp-300018782, FeO2, Li(FeO2)3, mp-25517, mp-762931",4.157517139858353,70.17075045588847,14.0,1.0,0.0,0.0,2.0,1.0,28.33333333333333,1.1326666666666665,3.9743666666666666,492.29999999999984,0.05073773833333338,0.0,0.0,0.0,0.0,0.38083333333333336,6199.361949658057,0.0,2.375,2.228333333333333,0.8276213979183982,-0.5916666666666666,0.5916666666666666,283.56666666666666,0.4138106991666667,0.5213688103333334,0.7656800983333333,0.3517771333333333,34.166666666666664,0.0,-0.3530163535780373,5.2504774984653695,2.062720019962468,70.17075045588847,0.3922664201288464,6.0,0.08550571229492249,-4.421802183666537e-10,6.124046291934624,5.333333333333333,1.2635752192817584,0.3333333333333333,0.448387931456536,14.0,0.03443253373148087,72.29699436545235,1.8856180831641267,0.022016803358185896,0.06556899564072886,1.161874027229824,0.02850190409830749
"mp-300018782, Li(FeO2)3, LiFeO2, mp-762931, mp-18782",4.128453016217793,217.5778411390242,12.9,1.0,0.0,0.0,3.0,0.6,23.786597533531822,0.9413738766056532,6.5692100315808295,394.8503434073331,0.8809313999470486,0.03333333333333333,0.047140452079103175,0.0,0.0,0.34790000000000004,3720.335305064164,0.047140452079103175,1.5249999999999997,1.852475640865488,1.0323191874980084,-0.3577777777766666,0.5000932011908579,237.7252925079702,0.5161595938910533,0.6503203373317437,0.45955313,0.29849279573563714,26.09039840418097,0.5185449728701349,-0.2634343963826944,8.251615488367388,1.008867090322869,217.57784113902417,1.21629710796127,5.5,0.0919211253099103,0.25906334492697725,6.009381120540497,4.8,0.7640522134632174,0.4,0.4382316052527671,12.9,0.011492905891714924,224.17066730337768,2.4000000000000004,0.006836117214843298,0.021146572677908586,1.1509088280976558,0.03676845012396412
