,density,nelements,energysStab,atomMean,transition,other,NdValenc wmean,BulkModulus wstd,Number wstd,AtomicWeigh wstd,BoilingT wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,BCCenergy_p wstd,HeatFusion wmean,HeatFusion wstd,BCCvolume_padiff wmean,IsNonm wmean,MeltingT wstd,BCCenergydiff wmean,phi wmean,SpaceGroupNumber wstd,numberDensity,oxidation flexibility,ShannonRadii,avgIonicRadVol,deltaShannon,oxidation flexibility Std,deltaShannonstd,deltashannonmax,chargedensityvoldens,HeatFusion wmean,numberDensity,NfValenc wmean,atomMean,AtomicWeigh wstd,AtomicWeigh wmean,metalloid,GSmagmom wmean,AtomicVolum wmean,deltashannonmax
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",3.989574461114087,2.0,0.19124211833333504,13.333333333333336,1.0,2.0,0.8333333333333333,26.666666666666664,1.3333333333333337,3.332883333333333,460.63333333333327,0.0,0.0,0.0,0.0,0.7642173933333332,3.5733333333333333,3.4266666666666667,-0.5949999999999999,0.3333333333333333,345.06666666666666,0.7658315916666667,0.775,34.166666666666664,0.08581157103206408,5.333333333333333,0.4972702216648686,0.4211307906208255,0.027479092948036882,1.885618083164127,0.012087723845451313,0.0445737159484948,1.110504872,3.5733333330000003,0.085811571,0.0,13.33333333,3.3328833330000003,13.99915,0,0.0,6199.4145450000005,0.044573716
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",3.997930651108777,3.0,0.08697577989583394,14.8,1.0,3.0,0.8666666666666667,7.204319691839211,1.699673171197595,3.861634603613115,102.32435237463707,0.0,0.0,0.0,0.0,0.4177321966407958,2.1410000000000005,2.005972582065867,-0.6251666666666666,0.2333333333333333,77.46457771136431,0.5650377438333333,0.4843333333333333,10.172839655999043,0.07578632618912337,5.2,0.5175608125824687,0.5175608125824687,0.012149002049172805,1.833030277982336,0.007607948781988305,0.03486948292564476,1.088650431,2.141,0.075786326,0.0,14.8,3.861634604,10.58946667,1,0.070355427,4340.020182,0.034869483
"mp-300018915, CoPO4, LiCoPO4, mp-510669, mp-18915",3.606221140423988,3.0,0.036101164583333116,12.333333333333336,1.0,3.0,0.3888888888888888,13.730429394524586,1.18894080883515,2.4203050312401047,215.91449224858195,0.0,0.0,0.0,0.0,0.3515130098797233,1.9788888888888885,1.3053233836113058,-0.8508465608444444,0.2777777777777777,118.02039397943784,0.5558853665277778,0.5916666666666667,13.641802132859821,0.08466483509402199,5.0,0.4904099534475061,0.4904099534475061,0.005820753234224692,1.5275252316519468,0.003698321141350661,0.013874661489325332,1.013489876,1.978888889,0.084664835,0.0,12.33333333,2.420305031,8.550253167000001,0,0.08602617800000001,4133.777703,0.013874661000000002
"mp-300018932, Pr(WO4)2, LiPr(WO4)2, mp-25655, mp-18932",6.24696188168362,3.0,0.08945500903409176,24.63636363636364,1.0,2.0,0.2424242424242425,25.970987556772126,3.7115955100854783,10.006482446211592,421.1503648645314,0.0,0.0,0.9393939393939394,1.141101235379559,0.8115276526066028,3.432424242424243,4.3023526354988215,-0.42378787878787866,0.2424242424242425,282.93600713276385,0.5606549236363637,0.3875757575757575,13.897962141940319,0.06500661429069213,4.545454545454546,0.5520610192568526,0.5520610192568526,0.005025829920269011,1.7248787237282068,0.003442502502806733,0.015910855502183144,1.5544259280000001,3.4324242419999997,0.065006614,0.939393939,24.63636364,10.00648245,19.29038939,0,0.0,4509.228302,0.015910856
"mp-300018939, Co(CO)4, LiCo(CO)4, mp-543072, mp-18939",1.48156222979313,3.0,0.5179632777083318,9.222222222222221,1.0,3.0,0.25925925925925924,8.456132262417977,0.3666479606152469,0.7396330090429388,817.8692383100963,0.0,0.0,0.0,0.0,0.5945364287083565,18.025185185185183,24.159526426376328,-0.11351851851851845,0.2962962962962963,752.2136123657015,0.986676667222222,1.1133333333333333,34.94114196646181,0.04696607900256862,6.0,0.8128196088876517,0.8128196088876517,0.005603181416512557,1.8856180831641267,0.006063143616070668,0.020524489596116025,0.420393281,18.02518519,0.046966079,0.0,9.222222222000001,0.7396330090000001,6.33235537,0,0.057350785,2756.114255,0.02052449
"mp-300018951, FePO4, LiFePO4, mp-25527, mp-18951",3.714562779454384,3.0,0.022519999583334286,12.166666666666664,1.0,3.0,0.3333333333333333,12.945994184770004,1.1732617823301597,2.341004086215053,210.73888837628914,0.0,0.0,0.0,0.0,0.3599343763674861,1.8461111111111108,1.2440393685962208,-0.8616798941777777,0.2777777777777777,121.39353588867719,0.5503130012499999,0.5822222222222222,16.330498620225445,0.08899414463617568,5.333333333333333,0.4540396534799749,0.4540396534799749,0.002177069440168233,1.8856180831641267,0.001597002189052544,0.005687004728577948,1.05091822,1.846111111,0.088994145,0.0,12.16666667,2.341004086,8.378686777999999,0,0.117259044,4133.8211200000005,0.005687005
"mp-300018987, MoP2O7, LiMoP2O7, mp-25577, mp-18987",3.1172555035542566,3.0,0.0,12.8,1.0,3.0,0.16666666666666666,10.362753816754823,1.0624918300339483,2.086684061658792,191.58524757634368,0.0,0.0,0.0,0.0,0.34067207264817834,2.536666666666666,1.6848788944279909,-0.9748492063466668,0.3,112.98517464202502,0.5838075916666666,0.525,9.312476696465996,0.06955803271415814,5.2,0.5687560279269519,0.5687560279269519,0.004386019474217665,1.833030277982336,0.0012386279286909158,0.00695856771917336,0.864157968,2.536666667,0.06955803299999999,0.0,12.8,2.086684062,8.996777467000001,0,0.0,4340.576975999999,0.006958568
"mp-300018997, MnPO4, LiMnPO4, mp-540007, mp-18997",3.349994326171457,3.0,0.0025792862500004787,12.0,1.0,3.0,0.2777777777777777,9.027051252817149,1.1626916409142414,2.3220203745027823,148.0590975186081,0.0,0.0,0.0,0.0,0.37291110553608703,1.7961111111111108,1.2276312129714395,-0.86043468345,0.2777777777777777,98.49463449696822,0.5586549173800001,0.5555555555555555,15.406227697001354,0.08074532302016486,5.666666666666668,0.5014808606970034,0.5014808606970034,0.006244956725567243,2.42670329642684,0.005050017300601733,0.017394374056754897,0.94044738,1.7961111109999999,0.080745323,0.0,12.0,2.322020375,8.328300388999999,0,1.7199999999999998e-05,4133.845305,0.017394374
"mp-300019043, V(SiO3)2, LiV(SiO3)2, mp-25633, mp-19043",3.1591230460285664,3.0,0.06949562388888708,11.0,1.0,3.0,0.1111111111111111,9.601097330974607,1.200137166371826,2.235563093469607,263.62997700121764,0.0,0.0,0.0,0.0,0.28486858002896376,4.564444444444447,4.751205002017216,-0.8262962962962962,0.2222222222222222,139.22074762995894,0.5491872962962963,0.5055555555555555,17.41914497893,0.08430067221300099,5.111111111111111,0.4982906732537778,0.4982906732537778,0.005973584525385821,1.6629588385661962,0.0030721238231647807,0.013006127105597605,0.9000354209999999,4.564444443999999,0.084300672,0.0,11.0,2.235563093,7.522551852,1,0.0,4133.594839,0.013006127
"mp-300019107, MnVO4, LiMnVO4, mp-25559, mp-19107",3.7078573241888,3.0,0.023462587708333867,13.333333333333336,2.0,3.0,0.4444444444444444,11.331154474650633,0.6431020501550125,0.9103480136756712,227.21174330631828,0.0,0.0,0.0,0.0,0.07354473566817854,1.9605555555555558,1.4095063053038668,-0.3931992337166666,0.2222222222222222,135.9339718074846,0.5187953150188889,0.4833333333333333,13.773520847742956,0.07886607944768254,5.333333333333333,0.4963657923461076,0.4963657923461076,0.01450491827016521,2.211083193570267,0.009381548770321164,0.03397908473188343,1.020621863,1.9605555559999999,0.078866079,0.0,13.33333333,0.9103480140000001,9.437619167000001,0,1.7199999999999998e-05,4133.047015,0.033979085
"mp-300019131, MnBO3, Li2Mn3(BO3)3, mp-510766, mp-849566",3.016087157962879,3.0,0.2211043293333325,10.8,1.0,3.0,0.3333333333333333,26.398653164297773,1.8402898322456351,3.8748450250851203,326.87194896812764,0.0,0.0,0.0,0.0,0.3217060046684582,4.251333333333334,4.213638280103734,-0.42433908046,0.2,180.00359403819326,0.5835028179673333,0.65,15.240589081644965,0.07984062826558615,4.8,0.5487975263357353,0.5487975263357353,0.010014990114090823,2.7129319932501077,0.009019378663380649,0.027519171657902176,0.8369192940000001,4.251333333,0.079840628,0.0,10.8,3.874845025,7.583149667000001,1,2.07e-05,3719.740131,0.027519172
"mp-300019206, La4CoO8, LiLa4CoO8, mp-25479, mp-19206",6.793979737722673,3.0,0.03727494225961614,24.538461538461537,2.0,2.0,0.2820512820512821,5.708685148749024,6.719025163317902,16.898462826066147,477.3469005157074,0.0,0.0,0.0,0.0,0.4517510625427784,1.0964102564102565,0.7312482460629572,-0.30038461538461564,0.20512820512820515,139.4361264037501,0.4872654255128204,0.4558974358974359,23.08729111820738,0.07162962490800112,3.230769230769232,0.4750859213602627,0.4715590051369923,0.01832216226670351,1.5764539639937842,0.01463754069494569,0.03954192242865437,1.705987664,1.096410256,0.071629625,0.0,24.53846154,16.89846283,19.03975064,0,0.03970439,3817.9152759999997,0.039541922
"mp-300019340, VO2, Li2V3O6, mp-714944, mp-762271",3.721442124519189,2.0,0.14459902000000113,13.0,1.0,2.0,0.5,26.666666666666664,1.1666666666666663,3.157116666666667,583.3,0.0,0.0,0.0,0.0,0.6699595783333332,3.6566666666666654,3.51,-0.5916666666666666,0.3333333333333333,345.56666666666666,0.7656800983333333,0.7083333333333333,34.166666666666664,0.08106210229591687,4.666666666666667,0.5115900126586677,0.4939817883591907,0.0244291066758019,0.9428090415820634,0.009256246724856265,0.03751941633076518,1.0228150120000001,3.656666667,0.081062102,0.0,13.0,3.157116667,13.82338333,0,0.0,6199.706539,0.037519416
"mp-300019377, La2MoO6, LiLa2MoO6, mp-25581, mp-19377",5.556136420264424,3.0,0.059277114444441274,22.66666666666667,2.0,2.0,0.25925925925925924,10.881075554035089,3.624334762288909,9.524086327993151,318.05525639103934,0.0,0.0,0.0,0.0,0.2444892678386614,1.896296296296296,1.68073013071427,-0.35203703703703715,0.2222222222222222,123.29878105703597,0.5202075962962962,0.407037037037037,14.334146785224318,0.0641064932799752,3.7777777777777777,0.5319419918483975,0.5319419918483975,0.009614386614921188,1.9309052441091965,0.00855499671761658,0.02555865354451413,1.410345631,1.896296296,0.064106493,0.0,22.66666667,9.524086328,17.39879037,0,0.0,4134.953525,0.025558654
"mp-300019431, YMo3O8, LiYMo3O8, mp-25579, mp-19431",5.168142676775903,3.0,0.1106411443749984,19.08333333333333,2.0,3.0,0.4444444444444444,26.337405920425873,3.047717218987612,7.1730074728648825,503.40623926248185,0.0,0.0,0.0,0.0,0.891324263902415,3.4886111111111107,4.171654588550308,-0.3898611111111111,0.2222222222222222,300.9314930653129,0.5139062393055555,0.4763888888888889,21.55122379155253,0.07399719605202111,4.833333333333333,0.5215186425055885,0.5215186425055885,0.00992334737003356,1.9075871903765995,0.002724988676420601,0.01676570786645621,1.370583119,3.4886111110000004,0.073997196,0.0,19.08333333,7.173007472999999,14.02169583,0,0.0,4133.808144,0.016765708
"mp-300019433, ScMo3O8, LiScMo3O8, mp-632694, mp-19433",5.131680720706706,3.0,0.14578880954860907,17.583333333333332,2.0,3.0,0.4444444444444444,26.058427939280342,3.5916140324406647,8.40114929826893,510.25547105419724,0.0,0.0,0.0,0.0,0.8970870656931647,3.5638888888888887,4.1269489971032325,-0.3954166666666666,0.2222222222222222,300.719368379422,0.5136040080555555,0.4777777777777778,21.55122379155253,0.08048344755397048,4.833333333333333,0.4917056498882057,0.4917056498882057,0.010039676652307069,1.9075871903765995,0.0019530750314022394,0.01341923902061054,1.373547426,3.563888889,0.080483448,0.0,17.58333333,8.401149298,12.80086422,0,1.7600000000000001e-07,4133.585813000001,0.013419239
"mp-300019445, La4NiO8, LiLa4NiO8, mp-543085, mp-19445",6.809095939055432,3.0,0.0781254961057698,24.615384615384606,2.0,2.0,0.3076923076923077,5.708685148749024,6.695794356492089,16.903742474447903,477.5258631257345,0.0,0.0,0.0,0.0,0.5075993300998158,1.1292307692307693,0.7393968435878614,-0.3051282051282054,0.20512820512820515,139.75909845723072,0.4874419115384616,0.4584615384615385,22.68386051672297,0.07181218719131854,3.1538461538461537,0.4751927534433373,0.471330957345855,0.017273681756157643,1.4595127662315597,0.01491275231011903,0.039642702848133135,1.715697265,1.129230769,0.071812187,0.0,24.61538462,16.90374247,19.03360205,0,0.015266531000000002,3817.9138770000004,0.039642703
"mp-300019492, Mn(PO3)3, LiMn(PO3)3, mp-25697, mp-19492",3.0253259451056884,3.0,0.0192201557692302,10.923076923076923,1.0,3.0,0.12820512820512822,3.89355407225962,1.4814212128876194,2.80675900519872,47.93744567897682,0.0,0.0,0.0,0.0,0.41997146237054295,1.807948717948718,1.7803180281606488,-1.0559820639102564,0.3076923076923077,32.273829832306966,0.5891265557138462,0.541025641025641,6.62739914754506,0.08115231580385032,5.384615384615384,0.4985198122202508,0.4985198122202508,0.002292916828011032,2.131754840084772,0.0017201413487689054,0.00806863824638564,0.860363125,1.807948718,0.081152316,0.0,10.92307692,2.806759005,7.483434128,0,7.95e-06,4292.990502000001,0.008068638000000001
"mp-300019615, V2(PO4)3, LiV2(PO4)3, mp-32518, mp-540147",2.957058292750959,3.0,0.016002415294117608,11.0,1.0,3.0,0.1176470588235294,8.453186555218796,1.4005546218375349,2.6317825913029798,166.65884431470232,0.0,0.0,0.0,0.0,0.3869136240460824,1.985490196078432,1.3291564333434749,-0.9123669467764708,0.29411764705882354,99.00489477179173,0.5826843542647059,0.4931372549019608,11.125511621617804,0.0782666155646737,4.941176470588236,0.5153235137562179,0.509323163771856,0.0015880287845127935,1.5518712892085786,0.000651388742989709,0.0031963704199330944,0.835612866,1.985490196,0.078266616,0.0,11.0,2.631782591,7.584256588,0,0.0,4376.837219,0.00319637
"mp-300019616, Na2Fe(Si2O5)3, Na2LiFe(Si2O5)3, mp-851041, mp-19616",2.643937377237088,4.0,0.08088812942708312,10.5,1.0,4.0,0.0625,10.119577380215373,1.7103646459811492,3.3667781105210337,303.74616423296817,0.02083333333333333,0.03608439182435162,0.0,0.0,0.5948048267991258,3.3705208333333334,5.303785641713524,-0.64241319444375,0.15625,163.2726949123755,0.3917142029339584,0.4013541666666667,19.84683921710765,0.07487959576567765,5.0,0.5466147483951368,0.5466147483951368,0.0014341136116601972,2.0,0.0017324104382543453,0.006782074470752231,0.7631126779999999,3.370520833,0.07487959599999999,0.0,10.5,3.3667781110000004,5.315922277,1,0.021986071,2907.226144,0.006782074
"mp-300019623, VAsO5, LiVAsO5, mp-543108, mp-19623",3.5476800779000754,3.0,0.0,13.714285714285715,1.0,3.0,0.6190476190476191,10.115881857734262,0.99659283506935,1.810167154694977,204.37977355094284,0.0,0.0,0.0,0.0,0.4736908878179357,2.24,1.4827497896730624,-0.5733333333333334,0.2380952380952381,111.72514460276136,0.5676726952380953,0.4309523809523809,9.9620595453695,0.07264759648359556,4.857142857142857,0.5322658817096522,0.5322658817096522,0.003883479923734468,1.4568627181693672,0.0013733213465759982,0.0072053101635247705,0.967008568,2.24,0.072647596,0.0,13.71428571,1.810167155,9.802861905,1,0.0,4428.4073659999995,0.00720531
"mp-300019667, Ni2P3O10, LiNi2P3O10, mp-25610, mp-19667",3.4987725942393726,3.0,0.04559649970833314,12.066666666666665,1.0,3.0,0.3555555555555556,10.832461503380578,0.9742360096347988,1.8476122502794543,161.3322826718161,0.0,0.0,0.0,0.0,0.3909725504696681,2.0617777777777784,1.4662877625040511,-0.95468253968,0.2888888888888889,85.75047354726532,0.5630487230555555,0.6011111111111112,12.551759504813127,0.08534965249087655,4.933333333333334,0.4920154802517057,0.4920154802517057,0.0034073534987277714,1.5691469727919758,0.0007481926307437505,0.0038569804172643453,0.999597017,2.061777778,0.085349652,0.0,12.06666667,1.84761225,8.228935244,0,0.026461987000000003,4133.966590999999,0.00385698
"mp-300019682, Fe(WO4)2, LiFe(WO4)2, mp-25537, mp-19682",6.438680497095959,3.0,0.1236525724431825,21.63636363636364,2.0,3.0,0.42424242424242425,23.779674323410244,4.633887237240066,12.117253972529594,426.4300924711129,0.0,0.0,0.8484848484848485,1.1999387801953532,0.6636389336128747,3.642121212121213,4.173887759227593,-0.43030303030303024,0.2424242424242425,273.2890078955744,0.5568582533333334,0.4403030303030303,13.591643843521874,0.07733553194057816,5.090909090909091,0.4839355328865538,0.4839355328865538,0.005728584298990935,1.7814470856604931,0.0033035790524016447,0.016173762028463382,1.624049371,3.6421212119999997,0.077335532,0.848484848,21.63636364,12.11725397,16.71273333,0,0.063959479,4508.517338000001,0.016173762
"mp-300021496, La4CuO8, LiLa4CuO8, mp-772213, mp-21496",6.80877369076861,3.0,0.06394901302884826,24.69230769230769,2.0,2.0,0.35897435897435903,4.652839475780002,6.672679733985976,16.797454264287776,477.3469005157074,0.0,0.0,0.0,0.0,0.5727077789164565,1.0297435897435898,0.7236346276217219,-0.3051282051282054,0.20512820512820515,143.4117409730291,0.4856619630769229,0.4392307692307693,22.68386051672297,0.0713424120631197,3.0,0.4714298662288674,0.4714298662288674,0.017510993459694733,1.3587324409735149,0.014633937897482841,0.0393833714373934,1.709800136,1.02974359,0.07134241200000001,0.0,24.69230769,16.79745426,19.15802769,0,0.0,3817.9366630000004,0.039383371
"mp-300024979, Fe(GeO3)2, LiFe(GeO3)2, mvc-8638, mp-24979",4.172523237209323,3.0,0.11438615854166655,15.333333333333336,1.0,3.0,0.9629629629629628,8.904307614941711,1.7308624363774698,4.063897622990877,256.3620358849428,0.0,0.0,0.0,0.0,0.3321702017414319,3.2966666666666664,3.519368045591312,-0.7044444444444443,0.2222222222222222,97.6826984412283,0.5354663362962963,0.5196296296296296,17.228155091197806,0.07611290207872225,5.333333333333333,0.5205328632245606,0.5205328632245606,0.007840206213431641,1.8856180831641267,0.004304928547726656,0.01945541184971536,1.132741304,3.2966666669999998,0.076112902,0.0,15.33333333,4.063897623,11.0044963,1,0.078172696,4133.71416,0.019455412
"mp-300025044, MnAsO4, LiMnAsO4, mp-543097, mp-25044",4.0113500195548495,3.0,0.03298229895833327,15.0,1.0,3.0,0.8333333333333334,8.693690063119357,0.5931710140017397,1.3616799074972197,139.06892242764084,0.0,0.0,0.0,0.0,0.4091590883322486,2.1238888888888887,1.6031752828852872,-0.5690325670499999,0.2222222222222222,90.12703106391035,0.5430133775188889,0.5138888888888888,11.796368974716511,0.0747671305713806,5.666666666666668,0.5320678472291789,0.5320678472291789,0.005995281388740301,2.42670329642684,0.004530259681302328,0.016106535804978353,1.088523605,2.1238888890000003,0.074767131,0.0,15.0,1.3616799069999999,10.76984694,1,1.7199999999999998e-05,4133.484740999999,0.016106536
"mp-300025083, Mo3P3O16, LiMo3P3O16, mp-25669, mp-25083",3.335859026816772,3.0,0.008177761136364481,13.590909090909092,1.0,3.0,0.2272727272727273,14.444393232938811,1.7574451362120027,3.881195473598164,282.5494296045925,0.0,0.0,0.0,0.0,0.4859769498950279,2.5996969696969696,2.0218326701755425,-0.8125865800848485,0.2878787878787879,166.57554579343872,0.5894706552651515,0.4636363636363636,13.063576263542402,0.06941044809804586,5.090909090909091,0.5519660782660987,0.5519660782660987,0.0020936663202652125,1.7814470856604931,0.0005473692122386445,0.0031562742691366628,0.9156072740000001,2.59969697,0.069410448,0.0,13.59090909,3.8811954739999996,9.648358879,0,0.0,4509.186359,0.003156274
"mp-300025385, CuO2, Li(CuO2)2, mp-504100, mp-25385",4.5249678728405405,2.0,0.16829713458333284,15.0,1.0,2.0,1.6666666666666663,23.33333333333333,2.1666666666666665,5.257866666666667,503.3,0.0,0.0,0.0,0.0,0.2127693233333333,2.34,2.1933333333333334,-0.59,0.3333333333333333,208.0283333333333,0.7719746883333333,0.7416666666666667,33.5,0.08556194328781283,3.6666666666666665,0.4844778699971442,0.456171834520011,0.011486672868521144,0.4714045207910317,0.002896759984585905,0.01558331012566221,1.245683688,2.34,0.085561943,0.0,15.0,5.257866667,15.92413333,0,0.0,6199.370712,0.01558331
