,density,nelements,energysStab,atomMean,atomStd,transition,metalloid,other,NdValenc wmean,BulkModulus wstd,AtomicWeigh wstd,BoilingT wstd,BCCfermi wstd,IsAlkali wmean,IsAlkali wstd,NfValenc wmean,NfValenc wstd,HeatCapacityMass wmean,BCCenergy_p wstd,AtomicVolum wmean,AtomicVolum wstd,HeatFusion wmean,HeatFusion wstd,BCCvolume_padiff wmean,MeltingT wmean,MeltingT wstd,BCCenergydiff wmean,GSmagmom wmean,GSmagmom wstd,SpaceGroupNumber wstd,Crystal System,meanbv,meanValenceOcc,Hall Number,ionicitymean,NNdiststd,oct,q4,q6,tet,lin,bent,sq_pyr,numberDensity,ShannonRadii,avgIonicRadVol,SpaceGroup,deltaShannon,oxidation flexibility Std,deltaShannonstd,deltashannonmin,deltashannonmax,chargedensityvoldens,positiveoxpopdens,deltacrystal1,deltacrystal2,deltacrystal3,deltacrystal4,negativeoxdensity,nsites,Unit Cell Mass,energy,total_magnetization,Electronegativity wmean,IsNonm wmean,phi wmean,VegardVolume,bcc,volumeshannonflex,strainlatticemean,AtomicWeigh wmean,BCCvolume_padiff wstd,Polarizability wstd,symmetry ops,strainlatticestd,q2
"mp-300018793, CrO2, Li3Cr5O10, mp-714929, mp-762282",3.989574461114087,2.0,0.19124211833333504,13.333333333333336,7.542472332656508,1.0,0.0,2.0,0.8333333333333333,26.666666666666664,3.332883333333333,460.63333333333327,0.30499594499999994,0.0,0.0,0.0,0.0,0.38083333333333336,0.7642173933333332,6199.41454507545,6195.383565917484,3.5733333333333333,3.4266666666666667,-0.5949999999999999,381.6,345.06666666666666,0.7658315916666667,0.0,0.0,34.166666666666664,2.0,-0.28542637715485913,29867.66666666667,1.0,0.5663636363636364,0.016198667759752733,0.8017802063984519,0.21416553882824232,0.3769424311641055,-0.460333945313546,5.2570699808897565,5.2570699808897565,0.8956215866426008,0.08581157103206408,0.4417487713241296,0.4211307906208255,1.0,0.4757535878773076,0.3142696805273545,0.2092783047685854,0.327771479420216,0.7717178047914911,1.1105048722921946,0.028603857010688023,0.4363192534152096,0.04342759850536915,0.4056113040214163,0.4977351522027962,0.05720771402137605,6.0,167.9898,-43.36228204,-0.0024283,1.4233333333333331,0.3333333333333333,0.775,1.0867546360024338,0.1533933546633128,73.15374527637641,-0.24030077224806445,13.999149999999998,0.5883333333333333,1.666,1.0,17.867670170236057,0.08820512323613962
"mp-300018878, FeAs2O7, LiFeAs2O7, mp-25524, mp-18878",3.997930651108777,3.0,0.08697577989583394,14.8,10.543244282477762,1.0,1.0,3.0,0.8666666666666667,7.204319691839211,3.861634603613115,102.32435237463707,0.6168823292355199,0.0,0.0,0.0,0.0,0.2511,0.4177321966407958,4340.020182062323,6133.810520554575,2.1410000000000005,2.005972582065867,-0.6251666666666666,145.82000000000005,77.46457771136431,0.5650377438333333,0.07035542666666668,0.09949759857854573,10.172839655999043,1.0,0.07869172727777976,31453.1,9.0,1.01,0.013719118819552355,-0.2356551473027913,0.2457903709672973,0.28385516320363,-0.6911681382334496,2.48758711713391,2.48758711713391,0.613814227556964,0.07578632618912337,0.5531423742040128,0.5175608125824687,5.0,0.32121029015985103,0.18330302779823365,0.2011483269072407,0.2167554840341092,0.9219223671982943,1.0886504308925509,0.022735897856737016,0.3175852365087441,0.12840294210039402,0.12831888729322954,0.6216194328353192,0.05305042833238637,10.0,317.684,-59.97437417,3.9999998,1.0090000000000001,0.2333333333333333,0.4843333333333333,0.9135606522637983,-0.18301939801461145,84.61947456883054,-0.016352230481919992,10.589466666666667,0.5072787421351522,0.1368138719412456,2.0,18.67029730447424,0.0974136654630193
"mp-300018915, CoPO4, LiCoPO4, mp-510669, mp-18915",3.606221140423988,3.0,0.036101164583333116,12.333333333333336,7.0395706939809575,1.0,0.0,3.0,0.3888888888888888,13.730429394524586,2.4203050312401047,215.91449224858195,0.42400731758427396,0.0,0.0,0.0,0.0,0.27011111111111114,0.3515130098797233,4133.777702692075,5841.423667713297,1.9788888888888885,1.3053233836113058,-0.8508465608444444,128.02777777777774,118.02039397943784,0.5558853665277778,0.08602617777777777,0.12165938733245228,13.641802132859821,3.0,0.15035145716864093,30370.83333333333,292.0,1.0395833333333335,0.017690918724141132,-0.04565837144151864,0.22834992740245594,0.2782022692905988,-0.5588958272672818,2.7981204487997133,2.7981204487997133,0.547888933393162,0.08466483509402199,0.5160462799837287,0.4904099534475061,62.0,0.2562284713649812,0.06364688465216445,0.16279940662890718,0.10437404964803283,0.6107600100985778,1.0134898760908424,0.02822161169800733,0.2480039823722638,0.1069487163407406,0.05067843370955442,0.4198422645395434,0.05644322339601466,24.0,615.618228,-160.85841247,15.899219699999998,0.9905555555555554,0.2777777777777777,0.5916666666666667,0.846122616628518,-0.10420654100907972,240.97333240635035,-4.322468309207277e-14,8.550253166666666,0.6309503696443203,0.321916751756923,8.0,32.81908942681519,0.11151102049307324
"mp-300018932, Pr(WO4)2, LiPr(WO4)2, mp-25655, mp-18932",6.24696188168362,3.0,0.08945500903409176,24.63636363636364,27.416891698608406,1.0,0.0,2.0,0.2424242424242425,25.970987556772126,10.006482446211592,421.1503648645314,0.779770627322962,0.0,0.0,0.9393939393939394,1.141101235379559,0.2363939393939394,0.8115276526066028,4509.228302318072,6372.707686185274,3.432424242424243,4.3023526354988215,-0.42378787878787866,273.70909090909095,282.93600713276385,0.5606549236363637,0.0,0.0,13.897962141940319,2.0,-0.8154873120846371,298.45454545454544,2.0,0.8868750000000001,0.016400273711741124,-0.3420684868197802,0.21249674215716385,0.2756105619014749,-1.005433542251435,1.9302551163600798,1.9302551163600798,0.44008555052277504,0.06500661429069213,0.5607748186788127,0.5520610192568526,2.0,0.24897779932336034,0.07840357835128213,0.17054033083318176,0.19376912702349894,0.7882180358529721,1.554425928378526,0.017729076624734216,0.25292251781052594,0.12078831221867453,0.12700560476128273,0.6098500404799424,0.04727753766595792,22.0,1273.1657,-165.27241848,-1.9999999,1.0112121212121212,0.2424242424242425,0.3875757575757575,1.1394883430880556,-0.16851195836574226,0.0,-0.2299956009087793,19.290389393939396,0.6131992082954594,0.8352195248730175,2.0,38.21422592394124,0.10727955368945546
"mp-300018939, Co(CO)4, LiCo(CO)4, mp-543072, mp-18939",1.48156222979313,3.0,0.5179632777083318,9.222222222222221,6.355710953811152,1.0,0.0,3.0,0.25925925925925924,8.456132262417977,0.7396330090429388,817.8692383100963,1.36383975749311,0.0,0.0,0.0,0.0,0.2566296296296296,0.5945364287083565,2756.114255018588,3894.096940428781,18.025185185185183,24.159526426376328,-0.11351851851851845,639.9703703703702,752.2136123657015,0.986676667222222,0.05735078518518519,0.08110625822163486,34.94114196646181,7.0,-0.2562113695825612,19914.44444444444,511.0,0.6400000000000001,0.0449514505220166,-1.0561897984203066,0.2657246290532784,0.3066965672929171,0.12756823937879036,4.334239806121239,4.334239806121239,0.3639451805530409,0.04696607900256862,0.8330517562050536,0.8128196088876517,215.0,0.18998365343548845,0.2095131203515697,0.2055793110839717,0.019267406942885715,0.6959113454505542,0.4203932806705349,0.026092266112538117,0.18344416814394104,0.17063668837020007,0.003314822699851307,0.4783761057728122,0.0208738128900305,9.0,170.973595,-65.59820098,1.0,0.9570370370370368,0.2962962962962963,1.1133333333333333,0.8581908361414416,-0.18953958781177987,36.308134384384395,1.5099033134902132e-14,6.3323553703703706,0.5053712185978794,0.20670664686962129,24.0,23.50302732993781,0.1612733776148779
"mp-300018951, FePO4, LiFePO4, mp-25527, mp-18951",3.714562779454384,3.0,0.022519999583334286,12.166666666666664,6.693695209341066,1.0,0.0,3.0,0.3333333333333333,12.945994184770004,2.341004086215053,210.73888837628914,0.4012745669482827,0.0,0.0,0.0,0.0,0.2716666666666667,0.3599343763674861,4133.821119596877,5841.3929569033935,1.8461111111111108,1.2440393685962208,-0.8616798941777777,130.41666666666666,121.39353588867719,0.5503130012499999,0.11725904444444445,0.16582933096424285,16.330498620225445,3.0,0.1236728517452744,30446.83333333333,164.0,1.007272727272727,0.005982795107416427,-0.24258523827405634,0.18800497230761828,0.2817504162619435,-1.1246532187602425,4.908316303884337,4.908316303884337,0.5399354245932955,0.08899414463617568,0.5011279328257856,0.4540396534799749,40.0,0.19282458468819888,0.026189140043946204,0.14144761676798198,0.07358199717910881,0.5037020430653449,1.0509182200866258,0.029664714878725226,0.1821131545364789,0.08781683114908115,0.035727466538215014,0.3396283564307155,0.05932942975745045,72.0,1809.796344,-510.08487822,59.8792741,0.9877777777777776,0.2777777777777777,0.5822222222222222,0.8183832798870211,-0.009374942336738329,743.2139082573276,4.026408835973901e-14,8.378686777777778,0.6157872324850229,0.3923962786599445,4.0,77.12835834077562,0.10321280675787696
"mp-300018987, MoP2O7, LiMoP2O7, mp-25577, mp-18987",3.1172555035542566,3.0,0.0,12.8,10.11731189595339,1.0,0.0,3.0,0.16666666666666666,10.362753816754823,2.086684061658792,191.58524757634368,0.5773108221929938,0.0,0.0,0.0,0.0,0.2738333333333333,0.34067207264817834,4340.576976324896,6133.4168988709325,2.536666666666666,1.6848788944279909,-0.9748492063466668,130.47333333333333,112.98517464202502,0.5838075916666666,0.0,0.0,9.312476696465996,1.0,0.24319613268897705,31953.7,6.0,0.8633333333333331,0.009572488858855407,-0.4697482844845397,0.25767139124307403,0.26881912598341035,-0.5612419266040973,2.706559043354024,2.706559043354024,0.2553979660505778,0.06955803271415814,0.5927390551505866,0.5687560279269519,4.0,0.19491044213846467,0.09165151389911676,0.05504342118071865,0.10388057799532054,0.3092319855776405,0.8641579681483605,0.02086740981424744,0.20742240882846968,0.07998695275411906,0.05043883037401405,0.2531731317971008,0.0486906228999107,20.0,539.766648,-146.74325002,3.9999998,1.0206666666666668,0.3,0.525,0.8792798649975018,-0.073348829203007,184.89699525398623,-0.03825083569310432,8.996777466666666,0.7122961737400054,0.30738956824633257,2.0,33.721485400229604,0.1486673984768727
"mp-300018997, MnPO4, LiMnPO4, mp-540007, mp-18997",3.349994326171457,3.0,0.0025792862500004787,12.0,6.350852961085884,1.0,0.0,3.0,0.2777777777777777,9.027051252817149,2.3220203745027823,148.0590975186081,0.3212711418446134,0.0,0.0,0.0,0.0,0.2733333333333333,0.37291110553608703,4133.845305124435,5841.375849557061,1.7961111111111108,1.2276312129714395,-0.86043468345,114.19444444444444,98.49463449696822,0.5586549173800001,1.7228927203055554e-05,2.4365382515699923e-05,15.406227697001354,3.0,0.11610811207318565,30398.0,292.0,1.2622727272727272,0.015048912681256332,0.0923566478979066,0.2329956752048288,0.2302317657128684,-0.4466619769832372,2.5519039993405057,2.5519039993405057,0.5310323106635679,0.08074532302016486,0.5286687275664768,0.5014808606970034,62.0,0.2837274954838381,0.1011126373511183,0.2294377405344847,0.10273788887111153,0.7902796454019999,0.9404473801752872,0.02691510767338829,0.26525691078481445,0.1430681907115831,0.049884001896752336,0.5401045803900327,0.05383021534677658,24.0,599.6376280000002,-178.19211438,15.999924300000002,0.9722222222222221,0.2777777777777777,0.5555555555555555,0.8443634664050798,-0.03206005976346369,235.53176176820244,-3.4046839421838127e-15,8.32830038888889,0.6175297263187887,0.4707881754811175,8.0,33.95683871776753,0.10263461466676194
"mp-300019043, V(SiO3)2, LiV(SiO3)2, mp-25633, mp-19043",3.1591230460285664,3.0,0.06949562388888708,11.0,4.898979485566356,1.0,1.0,3.0,0.1111111111111111,9.601097330974607,2.235563093469607,263.62997700121764,0.6671322693060141,0.0,0.0,0.0,0.0,0.27485185185185185,0.28486858002896376,4133.594838984837,5841.552975180291,4.564444444444447,4.751205002017216,-0.8262962962962962,217.9925925925926,139.22074762995894,0.5491872962962963,0.0,0.0,17.41914497893,1.0,0.05006667244275547,30406.555555555562,90.0,1.2741666666666671,0.01803209186211008,-0.431025967037624,0.2424050321079755,0.29475316727183576,-0.600205926063923,2.959905414327058,2.959905414327058,0.4847914871042282,0.08430067221300099,0.5343353958389396,0.4982906732537778,15.0,0.21769013019879108,0.09238660214256646,0.11195472872435076,0.06485315521204248,0.4739709450778553,0.9000354210497813,0.028100224071000327,0.22810474775674586,0.10515871319059082,0.032212861396514816,0.3110681929748679,0.056200448142000654,18.0,406.2178,-140.38241125,1.9999999,0.9655555555555554,0.2222222222222222,0.5055555555555555,0.9083130386437804,-0.008712966334953862,174.87598082462944,-0.03179641551139885,7.5225518518518495,0.586073165935708,0.3674157107783349,4.0,25.897989164236776,0.09130700500265236
"mp-300019107, MnVO4, LiMnVO4, mp-25559, mp-19107",3.7078573241888,3.0,0.023462587708333867,13.333333333333336,7.564537145273478,2.0,0.0,3.0,0.4444444444444444,11.331154474650633,0.9103480136756712,227.21174330631828,0.4217110146169533,0.0,0.0,0.0,0.0,0.2577777777777778,0.07354473566817854,4133.047014924678,5841.940225560864,1.9605555555555558,1.4095063053038668,-0.3931992337166666,217.84444444444443,135.9339718074846,0.5187953150188889,1.7228927203055554e-05,2.4365382515699923e-05,13.773520847742956,3.0,-0.14148461833978102,29985.83333333333,298.0,1.2245454545454542,0.019727251669371542,-0.02098697730361453,0.1814265538957143,0.2842619150430212,-1.2223769108354567,5.161016597680164,5.161016597680164,0.3280663650019453,0.07886607944768254,0.5346006662105892,0.4963657923461076,63.0,0.4217146578469749,0.18425693279752225,0.2727582848838511,0.25293521347236203,0.9879047799347842,1.0206218629013273,0.02628869314922751,0.37924021589248297,0.13296791059469454,0.3130027723917104,0.6751684669299138,0.05257738629845502,12.0,339.75429,-89.87917568,8.0000011,0.9411111111111108,0.2222222222222222,0.4833333333333333,0.9300510790043156,-0.01967695457650309,116.529240913714,-0.0351088468124748,9.437619166666666,0.5587112613086969,0.6378826084964396,8.0,21.217950864140715,0.09462743891599913
